id,language,text
18020627929925972,gl,pásame o mesmiño
17993879831360204,pt,eu son cociñeiro e o sal sempre o final. se o pos antes a carne perde moito mais auga 
18000370190298316,gl," eu tamén son cosiñeira... e polo teu comentario, doume conta que non mirastes o video completo"
17925994745839174,pt,te adoro 
17955625136750056,pt,que delícia escutar galego! lembra mais o português do brasil que o português de portugal! 
18229427779268872,gl,jajajajajajajajajajaja que aaanimaliña menuda máquina vouche xuntar ca niña aboa que fasedes amistade
18017109974175304,pt,a sartén ven quente...e o sal cado o sacas 
18121003990347140,gl,mañá probo a ver que tal
18019129007177976,pt,está claro que hai xente que non está preparada para o teu humor!!! non cambies nunca!!!
17858949813090916,gl, é verdá...!!  temos máis tituladas en cosiña nestes comentarios que xente que se ría do chiste... por non ver o video hasta a final...claro
18259501942209896,pt,fantástica!
18098827429392832,gl,o terceiro creo que é o más importante..
18427129507055616,pt,o que non se che ocurra a tí ... 
18005365910423504,gl,ay qué janiñas de coidar meu xardín 
18115823512366764,gl,moi lindiñas!!
17897256056987416,gl,"están preciosas,que cousiñas mais preciosas"
18079072885419468,pt,rías baixas
18035756902869256,pt,como me ghusta o assento da tua nai!!! 
18016064405191232,pt,que dwlicia ouvir a vossa voz
18309311434146640,gl,"síii, inzan moito. eu cada ano teño que arrancar unhas cantas raíces porque son un pouco okupas "
18010033604141246,pt,se che sobran avisa.......
17850881568176324,pt,ceniza
18047181742714440,pt,que envidia me das. un bikiño a tu mamá preciosa
18090153736381552,gl,"agradecida cando teña un intre me paso. e que eu flipo pk eu son da zoa do interior de ourense e xa quixeramos nos tela igual,ou parecida, jajaja. agora resido pero de salamanca. pero na mila aldea nevou hai ben pouco, así imposible sembrar na de na"
18035151667810192,gl,"""a xente pensa que non temos nada na horta""  e moito "
18252926899243292,gl,"aaa ben ben aiqui a xente tiraballes o pendon por eso preguntaba , graciñas "
18427993948019352,pt,"meu deus, saca a bata  vaime mal vendotecoa calor que papei o medio dia comendo o primeiro churrasco da tempada"
18041878120781248,gl,a poñer as patacas 
17991428636461848,gl,"a min tamén me pasou!!!!!!tés razón, e fruto do maxin e dunha dominación do noso cerebro"
18340717744104628,pt,é sooooll 
18060144280544072,gl,nesa peluquería os empregados non teñen nada de estrés  cando lles toca un cliente tocapelotas desafóganse pero ben 
18056229721569936,gl,"faiche un dous por un ,unhas jalletas e xa non tocas o psicólojo pa nada ,e ben tiña que estar de moda paljun que outro"
