id,language,text
18223686841281280,gl,grazas! 
18074249827484616,pt,parabéns
17919405488869312,gl,"estaba o señor facendo pompas de xabrón enormes, alí no parrote e despois dun anaco decateime de que podían quedar chulas, pero non pillei moitas porque o señor xa ía cansado, ha, ha, ha..."
18106516426375840,gl,un pracer coñecer malafera
18040995502682448,pt,foi preciosa. si que o foi. 
17918520035895892,pt,grazas a vós 
18130042621334048,gl,"non, pero ás veces marea, ha, ha, ha... acertou morwenkawano."
18260416033234684,gl," siiii, parabéns!!!! non dos do paseo marítimo, é máis da morte que aqueles, pero tamén é máis seguro ou parece"
18012246830073680,gl,"tamén aprece un tipo culler de xeados, a que si?"
17908348730928786,gl,merécelo ti. meréceo o trítonoælfredvazquez e meréceno todas as malafefas. viva a e as súas veciñas
17882004690021378,gl,"estando en primeira fila..,ninguén ía disparar á cabeza!!!"
17972953481546740,gl,"moitísimas grazas, xocas. verémonos antes ou despois nunha presentación."
18024647762020744,gl,"tes rasón, non lle fai falta música . vives nun lugar fermosísimo. osea non no cemiterio, xa me entendes"
17889119031001502,pt,onde? 
18054030127598360,pt,a mellor música sempre é a da natureza 
17979730388669368,gl,"cereixo, concello de vimianzo "
18044261032734028,gl,"moitas grazas, chuliña! "
17851717734172476,gl,parabéns ismael. eu onte tamen estrenei unha nova idade... a miña moitísimo måis grande. saúdos e moita felicidade!!!
18004314248439840,pt,"grande ou pequena, o importante é seguir cumpríndoa! parabéns, fer! "
18027168931992208,pt,moitos parabéns! 
18015638645225796,pt,"chuchi, oxalá sempre cumpras feliz "
17870054064085472,pt,felicidades! 
18229561147261508,pt,moitos parabéns amiga!!! logo celebramos!! 
18347511073100016,pt,"parabéns, novísimo entre os novos! (e aries!) "
18012451067103004,pt,oxalá sempre cumpra contigo! 
18005504288407992,gl,"graciñas, queridas! sábado brindamos "
17995166117348036,gl,moitísimas grazas e feliz eclipse 
18064452661522764,gl,jajaja! austen de xeito total 
18146855455311072,pt,"parabéns!! unha aperta, isma!"
18048895228721884,pt,parabéns para ti! fermosa mirada
18259508842214644,pt,parabéns!!  
18034724080732392,gl,"mil e mil máis parabéns, poeta da luz "
17854291677157572,gl,"graciñas mil, lou! "
18013492916469516,gl,moitas grazas 
18035712520889104,gl,"mil grazas! unha aperta, guapo!"
18005490404196880,pt,"feliz aniversário, meu amigo. um abraço desde lisboa!"
17999150393538008,pt,"obrigado, meu caro daniel! "
18055421290523628,pt,moitos parabéns! 
17943918173693024,pt,"parabéns, isma!"
18060753397554224,gl,"moitas grazas, catalina! "
17953410905777408,pt,moitos parabéns! 
18018344264006464,pt,parabéns!! 
18274066873200144,pt,parabéns!!
17987212376637436,gl,"nesa mirada túa, o porvir só pode levar felicidade, sexa cun xaguar mexicano ou cun coleóptero pola area e as xestas dunha praia calquera. vilariño mesmo. parabéns ismael prezado."
17847658398166792,gl,fan de blim coa caixiña 
17893654097995086,gl,"e bueno que tamén quería desir, ademais de quedar aparvada co jato, que que xenial o paquetiño. carol o teño en pendientes "
18014869604266412,gl,que goces moito destas lecturas... na compaña de blim!
18147226534311332,gl,eu téñolle unhas ganas inmensas 
