id,language,text
18040240444597264,gl,podes sacar a un rapaz da aldea pero non sacar a aldea do rapaz sos
17921741336770374,gl,bueno talentos que ten unha jajajajjaja
18119463109341544,gl,sodes os máis cool vós eh!! 
17865609255075884,gl,non máis ca ti 
18052261786606648,gl,a pvta maquinaria coidao que veñen curvas 
17842776996205260,gl,a escoitalo sen falta! seguro que quedou fermoso
18000643673598844,pt,o mellor con diferenza
18013762748331370,gl,grazas guille!!
18000595514260204,gl,grazas bergoñaa
17844331497178218,gl,que bonitiño oooo cantas moso
18010751618204920,pt,aprendeu de min je
18343033342109264,gl,"grande ti, que menudos pogos te marcaches!!! "
18350397889101632,pt,mentres o corpo aguante hai que darlle lumeeeeee
17932457600736140,gl,"és caralludamente grande jásper, qué ganas teño de compartir contigo unha birra cando veñas por barcelona meu. venceremosnós "
17998841006297992,pt,xa temos os billetes!!
17857223988112888,gl,quérovos!!!
17990118056349586,gl,moito animo para a tarde de programa de xuntos en directo tvg 
18223183015256516,pt,artista de primeira linha.
18115150720318848,pt,o mellor 
18323006125186212,pt,vide actuar a minha voda
17944226012667916,pt,grandes! 
18008130836251238,pt,ese é o meu obxetivo real ngl
18016775849118024,gl,pero só por ti eh
17987908916386890,pt,canis tipicamente galegxs. como molades!!
17899056791951572,pt,ata abaixoooo jajaja
18017375525078204,pt,o mellor é a foto que nos puxeron de fondo cos silos jajajaja 
17919344399851630,pt,jaja mil grazaas 
18003699509433132,pt,deso vai a vaina 
18013353044217118,gl,"xaaa, pero non deixa de verse 'raro"" jeje"
18011697808790268,pt,
17998156823445832,pt,non se pode comparar 
17893924043970666,pt,onda canijalleja 
17986062467453886,pt,aii mil grazas amore 
18116693857352600,pt,e non sabes todo o que falta por vir!!!! 
18049620835593108,gl,"moita neve, meu, moita "
18013660127325104,pt,a unidade da neve.
18062879470463368,pt,miña nai di q corte o pelo
17948592857783448,pt, brava pauliña! 
18290252338199988,gl, grazas 
18034277821717544,gl,felicidades polo voso traballo e polos esforzos que facedes para mudar dinámicas malas.
17907156569841340,gl,grazas chula
18026831464830736,gl,a min a  gústame!
18019047988822288,pt,a  é tan teño un gato que me tira todo
18373467277076848,pt,as bonitas vibes da primeira foto? 
17871007650021202,pt,a  representanos a todos os que temos gatos
17951606369717436,pt,a primeira é tan bonita 
17859018933077890,pt,aii diosss e que te comooooo non podes ser mais cuqui  ti es meu mellor regalo de nadal  p. d pobre arbore 
17956954088598474,pt,aida: o meu eterno mood 
17906717996896336,pt,nooo la estrellita :(((
17903467280822658,gl,a  é como o jrinch este que anda por ahí polo nadal pero ao revés 
17981281883429406,pt,a serenidade do seu sorriso e do seu olhar nos encanta a todos. tanxugueiras
17869189932028152,gl,os gatos son a ostia 
18022839403822096,gl,descansa bn merecido a miña tanxugeira favorita 
18011997670907016,gl,cousas de ter gatos... 
17843839761126738,pt,"e a  é fuck, non hai nadal "
18041948758591972,gl,éo que ten ter gates... 
18029819326945780,pt,"epaaaaaa, que ben que che aporten as miñas aulas de canto! "
17938083428766752,gl,estaba pasando unha cousa moi interesante a verdade jajaja
18006357998169512,gl,pero que monisimaaaa 
18250301209227932,pt,que guapaaa 
17988981641315472,gl,miña pequecha  non podes ser mais bonita  grazas por compartir estos momentos con nos como te podo querer tanto....  por sempre o teu caron
17983418060360202,pt,foi ver o arousa.
18052346563521632,pt,non podes sair mais feiña non?
17960077019567904,gl,"era para facer a bromiña ;) pertiño ao pobo da miña nái, vilanova de arousa. mas eu son de ondarroa (bizkaia)."
17981054888397220,pt,eu sei
18018158797939792,pt,guapa sempreee
18134068054312816,gl,aiiii que xa chega o sábado. morrooo
18023610088810704,pt,preciosa
17847049101132922,pt, eu só triunfo en bastos 
18079752361424088,pt,"viva ti e viva tanxugueiras, carallo."
18021173653754852,gl,"noraboa nenas, leire estuvo."
18066227866461136,gl,"onte seguro que se cumpríu un sono voso, pero tamen o de moitas das persoas que estivemos convosco esta noite, facendo que a cultura galega, a diversidade e o orgullo polo noso encheran por primeira vez o coliseum. parabéns por esta e polas que virán"
18216486328259164,gl,estás chea de talento 
18032291485670728,gl,menudo concertazo. foi unha pasada!!! parabéns
17985435128576648,gl,"que orgullosa de ti, que orgullosa desa nena. sodes tan grandes e tedes tanta forza, que é imposible non quedar abraiada ao escoitarvos. grazas por tanto!"
17944603892752532,pt,"errs grande amiga, amiga de verdade e eso vale otro, que afortunadas somos as que compartimos contigo a vida "
18017433517955284,gl,"foi espectacular aida, todo un orgullo vervos medrar e vervos triunfar "
18003465059069652,gl,un placer todo 
18017928205956408,pt,foi marabilloso!!
17993212061524176,gl,"sodes espectaculares, eu, desde ala arriba nas gradas poñiaseme a pel de galiña e a emoción saliame a chorro polos ollos. gracias por poñer maxia na música galega e regalarnos esas voces que chegan á alma"
17952366218714200,pt,parabéns 
17997385238357520,gl,eres a mellor jopiña 
17963814704550056,gl,"eu tamén son capricornio. nacido un  de xaneiro. sobre o acontecido no coliseum, creo que non sodes conscientes por completo da que liastes, . ningún cantante conseguira encher ese recinto cantando en galego. . persoas é case o mesmo número de habitantes que ten o meu pobo, ordes, que somos algo máis de .. o diluvio das tanxugueiras mollounos a todos e quedamos encantados."
18003044981249384,gl,parabens e juan esto tamén e voso estarei sempre inmensamente agradecido polo voso cariño e da avoa que decir 
17927464409717784,pt,orgullosa do que conseguistes!!! parabéns!!!
18054103414508704,gl,"eres moi grande aidiña, por dentro e por fóra. que orgullo verte medrar e cumplir os teus soños. quérote un mundo!"
17870267949024458,gl,"grazas a ti, a vos, por existir. que sigades cantando moitos anos máis facéndonos felices. quérovos. "
17924246615799188,gl,ese e un soño que ten o noso de levar alegría misturada con tradición e modernidade polas casas de galicia do mundo
17844397917185964,gl,gran museo e gran descoñecido! 
17963418278564800,pt,é todo ghrasias ao can jajajajaja
18056950645517900,gl,esaa a ver se te animas vir a algún conserto cos colegas!!!
18007331528256840,gl, traballazo
18305771503135080,pt,qué grande minha nena!!!! eres exemplo de loita e forza. 
17984916707421300,gl,devecendo por escoitar eses novos temas! 
17892131987968474,gl,encántame
18037057717708856,gl,encántame
17988066425356688,gl,moi boadesexando escoitalo discoe sobre todo volver a disfrutar dos directos!!pasa pa vijo!!!
17988391706561128,gl,moi ghuapa !  noraboa! 
17868843804052012,pt,"a ver quen é o ghuapo que se atreve a chamarte con ""diminutivo""...ghrande paula "
17993157017586228,pt,que ghrande paulinha!!!!!!!
17987565797574252,gl,que ghuapo!!!!! desexando escoitar o resto  
17911664435864100,pt, a mesma mestra de sempre para as miña carrouchas! 
18121588288336876,gl,"cada día máis linda, máis linda,cada día mellor e mellor... paulinha e galicia "
18393288442068468,pt,e-la mellor! 
18018085925053668,gl,encántame
17999789468301576,pt,toleasmeee 
17999561333196544,pt,nós somos team stream así que sacádea xaaaa 
18058250446511892,gl,fixémosvos caso e adiamos o lanzamento 
18013711493017092,pt,"temazo, e ti grandísima coma sempre"
18041404570538272,gl,seguides igualiños qe no .. non pasa un ano por vos eeh!!!
18056694430518492,pt,llangreu!!!! 
17927553281692172,gl,preciosas que nervios deseando oírlo 
18398838814043140,pt,que ganasss!! se viene temazooooo 
18272019034083824,pt,as risas no último vídeo son superiores 
17979297107537120,gl,desexando que salga xaaa
18311099623191444,pt,a que nos ven enriba!  que chegue xaa
18008951459053520,gl,iso é en sargadelos?! 
18086944819349504,pt,preciosa pili 
18032457994606164,pt,como mola o meu 
18106970458340224,gl,apertas fortes e saúdos á familia!! espero poder verte prontiño!!
17984795639399064,gl,eu tamén o conozo por pantxolis...porque será...
17997101621027680,gl,"jajajajajajajajajajaja é serto  oe hai que xuntalos a ver que tal se levan, a este encántalle a compañía canina "
17989457423341248,gl,qué xeitosa e menudas fotacas.
17890796393843872,gl,ghuapos. só lle falta falar!!
17914711043864032,pt,sempre si
17947680887769752,pt,somos sentimento. 
17870079330063272,gl,axudame a sentir
17891498687978212,gl,aisn  que ganiñas!!
18049221631593608,gl,inda faltaba ai o jaioso tamén cagho en diola
18069676384470060,gl,moitas ganas de sentilo
18325351864186688,gl,"dentro de pouco, axudámosvos a sentir e ao que fagha falta "
18001966346380020,pt,lindo sempre axúdame a sentir.
17999720420307000,pt,que chulo .
17957247020742188,pt,aí meu pobre ... 
18071742598473308,gl,jajajaja súper modelo
17989670777432020,gl,unha xa a sabes de memoria!
17970166589565494,pt,a rebentalo!! 
18006325508167452,pt,compartino nas redes
