id,language,text
18259200370215920,gl, vou ter que ir eu tamén!!!
17989361291479364,pt,"pois xa sabes, lévote cando queiras"
18229893928260096,pt,que guapińa te deixaron 
18004017371405080,pt,hoje a fatima pego veio até à cidade olivica! aproveita para ir até ao samil!
17939387261815488,gl,grazas
18123822364343888,gl,"grazas, amigo! unha aperta forte"
18031084645934608,gl," graciñas, corazón!"
18127469131337432,gl,"non sei o que che puxo por privado, pero a ela e a roi contratáronos para cantar e eso fixeron. ¿a caso non deberían actuar en concellos onde gobernen políticos que non nos gustan? eu non son cantante, pero se fose, iría a onde me pagan. vou ser sincero, igual non actuaría nun acto de vox porque penso que é un partido que despreza os dereitos de certos colectivos, pero con outros partidos non tería problema. unha cousa é o traballo e outra as ideas. hai que saber separar unha cousa doutra. iso chámase profesionalidade."
18422189629019912,pt,que guapa! parece uma mnoiva guapissssssssima!!!
18050412064625512,gl,"graciñas, darío"
17885842964964622,gl,moitas grazas 
17898201263984838,pt,magnífico
17942203658800096,gl,moi bonitiño cantes o que cantes saleche moi ben. eres grande sigue asi
17996694368553308,gl,graciñas!
17962989164616912,pt,ben
18018049997274696,gl,"moitas grazas, familia"
18005805875387712,pt,boa noite
18053559400592972,gl,"estás na miña terra , ese e o paseo das torres"
18004629338394632,gl,moi boa actuación con meu primo roi 
17920596836895090,gl,ohhh! parruliña un bico inmenso
17854215342156836,gl,así é a tradición
18394351612074432,gl,parruliña
18259835122208432,gl,parruliña
18427931110020180,pt,estás um espetáculo guapa! muito sucesso na vida princesa!
18231145834265976,pt,te adoro 
18021141986136992,gl,"que bonito!! superdelicado, levarache  horiña ben a gusto ainda que coa túa práctica dudo "
17848818282164834,gl,a min unha vida! preciosa coma sempre 
18330226987187996,gl,"xa che darei unha jo, non estamos tan lonxe "
17942938742700118,pt,eu a ti amore 
17995348514618738,gl,que guapa!!
17989715996473436,gl,ti máis 
17894876237919256,gl,que guapa
18022323634933692,gl,tiii...  os dous!!  biquiños!! 
18026930075033248,gl,besiños
17998853873561500,gl,como corre que ben. se lle ve activo. me alegro moito
17865550770098976,pt,amoreee
18039634600829032,pt,o mellor
17972539235700396,gl,"apertiña, queridas"
17968949711536514,pt,bom dia princesa!
17977749386507192,pt,bom proveito guapa!
18034734886703784,gl,tamén!!!! jajajjaa qué ricas
18028596868868952,gl,"linda de loira, linda de morena!!! e que flow tes miña raíña "
18175211689293256,gl,mira que me queres ben… ben de máis!!! 
18016268053937824,gl,"miña nai, quen é esa tola??? "
18035205829871976,gl,eres preciosa 
18027889288975632,gl,ti máis jo 
18012970370203444,pt,guapas guapas
18030386749934212,pt,para sempre
18014820350206108,gl,"especiais sodes vós, grazas por incluírme nesta familia "
18319983055125428,pt,adórote 
17845591656186436,pt,artistaza! <
18024486956098888,pt,"o mesmo digo, un pracer "
17896784834991188,pt,foi falar!
17862845931108702,gl,"sempre soupen que chegarias lexos, pero todo o que che queda miña reina, un futuro brillante"
17868568887049696,gl,"que bonito, alba! quérote moito e ben "
18019330472492928,pt,linda!
17870739345085256,pt,aii que orgullosa estou de compartir a tarde contigo! 
17970677192585204,pt,a honra foi toda miña 
17869062345092534,gl,"meys parabéns maría, no deixes de escribir "
17974774868690322,gl,sei de que dúas persoas podo seguir os pasos 
17975399768546968,gl,cando menos as ilusións. repito parabéns para ti e para ese pai que te acompaña nos teus soños.
18310943389183556,gl,grazas a ti por ser ti 
17881835097027276,gl,que orgullo ter compartido contigo o día de onte!!
18000993680575540,pt,eu a ti
17912740169926686,gl,grazas aroaa!!
18259593958171284,gl,moitísimos parabéns outra volta máis!
17993814644388916,pt,"o futuro da galiza, morro de orgullo "
18040383061773120,gl,"parabéns, maría!!!  por moitos máis! "
18013350038215616,pt,ains... bonita! non hai traballo sen... mmmm senn... que rima con traballo? hahahaha
18230811952248880,pt,aghora hai que ir a go home!
18064253530518816,pt,"eu acepto, ti non sabes que xa estamos casadas teatralmente?"
17920333607860340,gl,depende: versión normal ou heteropatriarcal?
18040829509742148,pt,pois a normal é cool : non hai atallo sen traballo:)
18005115560168252,gl,"maría, vouche comer a cariña"
17901086939882132,gl,"que texto máis fermoso, como a mañá! unha honra coñecerte!"
18348215131101236,pt,"o pracer foi todo meu , grazas por todo "
18101533276381364,pt,que bonito 
18000995630446028,pt,para bonita ti 
17997148955322276,pt,"bravo, brava e bravas. o texto, tú e a luísa villalta"
18039166639748484,gl,máis orgullosa ca unha mamá
18080119003453092,pt,pois festexamolo cun chiculate no paradiso?
17986223153634556,gl,que feliz e orgullosa estou de ti chuliña
17998725674593874,gl,miña jess 
18068557945450668,gl,"foi un pracer escoitar a túa poesía, maría! unha aperta grande, e a seguir cambiando o mundo "
18072464374478588,gl,lástima non poder estar! grande maria!!!
18010028285104596,pt,o mesmo digo (o poema de pechar a cidade foi marabilloso)
18067995883496008,pt,alégrome de que che gustara 
18272444557201648,gl,tes moito talento!!!
18039831262704732,gl,"inda que fose así, deixastes o listón ben alto, foi un pracer coñecerte"
18421321090060732,gl,que va!! se teño voz de meniña chica. non se me escoitou moi ben. teño moito que aprender. escribo desde sempre pero tardei moito en compartirme
18067890205497956,pt,o pracer foi meu. seguro que escoitou mais veces falar de ti
18423625351044208,gl,"fixéchelo xenial, foi moi bonito poder escoitarte "
17980225187651814,pt,
18012346070256616,pt,parabéns!!!! bravísima!!! 
18088652416425024,pt,ánimo. ti podes e así motivasnos as demais.
18022367423045896,gl,brava pauliña 
17963637527604010,pt,son a de fai un ano 
17996802752324928,gl,eres unha campeona amiga!!!!!!!!
17920376048867688,pt,muito obrigado 
17878246410053156,gl,moitas grazas
17998413947573836,gl,"vaia! que bonito… moitas grazas!!! por suposto, faltaría máis. unha… ou un cento!"
17976374849676792,gl,gracias ruliña
17954509295647456,gl,estas preciosa 
18313348867178440,gl,"antes mortas que senssssillas…!!!! un biquiño, parrula "
17953559447769776,pt,non se pode ser mais linda!
17902780073842156,gl,non supero a túa pel.
17911004876860868,gl,oxalá máis momentos xuntas este !! 
18002770952465912,pt,preciosa
18047702977721568,pt,viva a nosa música!!! 
18051408982530796,pt,por e para sempreeee
17932573562821284,pt,preciosa fátima pego 
18052217552301796,pt,fermosa cantiga. a nosa cultura e moi rica.preservemola.
18024536990055576,gl,"siiii, unha gozada"
18002775047436572,gl,meus soliños  
18038047810809592,pt,que viva panorama fatima
17928499574838262,pt,preciosa fatima pego 
17881326747029792,gl,amoriño
17847350112180298,gl,gracias parruliña
18003697019436710,pt,e eu contigo
17999116595315184,gl,terei que ir vendo axenda
18091015339419180,pt,feliz páscoa para fátima pego!
18057398563563900,gl,seguro que prontiño!!!
18024496663877760,pt,guapa 
17847411498118844,gl,graciñas a tods!!!
18179445154291372,pt,canto mais cerca a tes menos a usas
18027301301066076,pt,jajajaja pena non coincidir na mesma
18429488188031284,pt,tocou!
17999798840321886,pt,non me digas?!?!
17910466625846616,pt,que plaia e esa e bonita
18051242701617424,pt,onte tocou arar e plantar na horta 
18024251294036472,gl,tamén é bo plan
18001804856296420,gl,e vaia se cargaron
18040793089661000,gl,"que linda  estás , besiños "
17996535563615092,gl,que sorte
17851640640146922,pt,bonito lugar.
18030896083802836,pt,a todos!
18008601827378780,gl,aproveitar ahora que no verán non podo!
18021230560770416,gl,"o top coat violeta é maravilloso, traballei en kiko e é dos productos dos que sigo namorada!"
18120137815317404,pt,ai estarei .tvg 
18259121341215520,pt,e ben orgullosa que estou 
17883013503034236,pt,pois si
18423349144037296,gl,a min gustoume moitooo o vals 
18045943750649804,gl,estivemos dubidando entre as dúas ata o final. o valse era o favorito de 
18072873067468868,pt,"todo non! o mono dourado, non "
17991655742426184,gl,mañá vexote?
18011504645515852,gl,"sii??? anda! pues de momento ía gañando a cor lima. o conxunto é de pero da tempada pasada. e moito uso lle teño dado, comodísimo! "
18014712344265288,gl,graciñas
18073463428435068,gl,"os  son moi bonitos,pero scollo o verde encantame"
17928742355841688,pt,esta guapa tem muita sorte só tem agasalhos!
17939182043801118,pt,cor vivas são primaveris!
18040255642810956,gl,poñas cal poñas o resultado vai ser sempre de 
17996291297533590,gl,moitas grazas
18075230350482216,gl,moitas grazas
17882484771028756,pt,a que si???? é espectacular!
18027026663000480,pt,a verde é preciosa
17923825529856196,pt,bom dia princesa!
17856198639149144,pt,gosto dessa cor primaveril guapa!
17990560043438460,pt,bom dia guapa!
18074640625479048,gl,pero non saltamos do inverno por verán.....
18043814182567560,gl,unha quere sacar fotos boas coma as túas
18337920448108680,gl,"pel de pita lendo isto tía, eres unha rapaza tan especial…prepárate para todo o que nos queda por vivir"
18081846805413368,pt,felices festas paulaaa!!
17989540670595720,pt,vai todo incluído 
18294953011155500,gl,miña pilota fav
18011979254080504,gl,que noite de emocións 
18109359577348356,pt,foi impresionante!
18040911349594376,gl,e que feitiñas!
18010191491187416,pt,veu falar!
17997471524439952,gl,que lindas 
18008031653262192,gl,que lindaa 
18022769999012776,pt,"non sei, penso que eu "
18429672268032456,pt,siiii  o mellor do mundo
18042001066676472,gl,a recolleita da uva para despóis facer viño
17992600748371272,gl,gracias 
18328408879140200,pt,efectivamente
18006826535381902,gl,hai que botar unha man cando se pode!
17992178393385480,gl,moitas grazas! un biquiño
18017091695005924,pt,tiña razón no que che estivera dicindo. tan certo como que hai dia e noite. .
18085149304437984,pt,andades logo apanhando nas xudías? 
18328713706137552,pt,ainda non é tempo! antes haberá que pantalas
18000167399590836,gl,"siii, a mellor combinación posible"
17855507001150136,gl,alguen me pode dicir como se chama esta canción grazas
18039389308769272,pt,"“se ti queres”, de"
17991623000379888,pt,"que bonito, maría"
18081523162439416,gl,cada vez que tes detalles coma este ou o de onte (co pen recheíño de versos) doume conta de dúas cousas: . o moito medo que me mete a síndrome do impostor. . a sorte que teño cada día contigo
17953567727751974,gl,fas qye un toxo coma min queira abrazos teus a todas horas
17848662849167876,pt,eu encantada de darchos!
17891909183915468,gl,só teño un punto que responderche . vales moito e a sorte é miña
18114975211348472,gl,quero disto unha vez ao mes porfi
18319729696116060,gl,"unha vez ao mes e para toda a vida, o único medicamento que quero "
17931373241714830,gl,"coma ti, preciosa "
17966604152689806,gl,chulazas 
18321079594143720,pt,moitos sentimentos nunha foto!! sodes o meu fogar 
18028111600939224,gl,graciñas
18199908463305020,gl,ruliña
18057662818500252,gl,unha gozada 
17971133855692652,pt,que noiva mais guapa! bom dia princesa!
18027288268979500,pt,eu cheguei com a primavera. amanhã  de março cumpro anos e quero verr de a amiga fátima pego me envia os parabéns!
17919547364871518,pt,guapa olé tú
17936034476811084,pt,preciosa fátima pego 
17874664125061480,gl,unha foto divina 
18017776271474440,pt,o mais bonito da mahia
17845494918190142,pt,que non é culpa tuya eh!
18017047040000276,pt,só faltaba
18001337804291480,gl,non hai coma a aldea!!  hai sitio abondo para berrar e que ninguén se queixe!  bicos! 
18319139365126128,pt,efectivamente 
17956063061758980,pt,eu son d.escairon.escairon.escairon...
18013275605083984,pt,"estou da cordo!!! pero as auténticas aldeas eran as que traballaban nosos pais e abuelos, as terras pa comer e vivir delas , ..sin despreciar as casarurales ."
17898573464978200,gl,con esa uña pintada non sei si teras moito pedigree…
17907300344863452,pt,eu tamen son da aldea e orgullosa que son 
17992372991629808,gl,galeg@s orgullosos e orgullosas 
18232462831253984,pt,muito obrigado!
18029472214935336,gl,non leíches o que puxen
18007570622148130,pt,case sempre
17876795861997020,gl,guapísima coma sempre
18025386989306888,gl,vaia! grazas
18028851289821812,gl,eu quero unboxing de esos en juasap da tarxeta verde do outro dia xa sabes e con subtítulos tamén jajajaja 
17957515901753514,gl,"en galego, en portugués ou en catalá???"
18424577137030888,pt,boas noites guapísima 
18262674649225112,pt,boa noite!
17937761426812084,pt,preciosa fátima pego 
18349241470101144,pt,bom dia e bom fim de semana guapa!
18052267489533108,pt,eu queroooooo
18043975762663852,gl,"xa hai tempo que as probei, e son unha pasada"
18024465698315380,pt,en animais está prohibido testar....
17846618172192306,gl,seino. pero non é menos certo que as organizacións pola defensa dos animais denuncian que estas prácticas seguen a ser frecuentes. por iso non está de máis aclaralo.
17929098788761430,gl,teñen moi boa pinta
18010569317134136,pt,e eu a tiiii!!!!
17875246319998524,gl,e como se supon que temos a pinta os da aldea?? 
18000374303450298,gl,gran rapaza galega.bonita e fermosa coma un anxiño.
18017710103172832,gl,fátima cando queiras bouche votar unha mao cas tareas do rural unha aperta moi grande cada día mais fermosa
18029254864925344,gl,"tes razon que pinta temos logo? o que pasa e como eres tan guapa das o pego, ostras saleume unha rima sin querer. non te me ofendas ee fatima que sabes que te quero ben. un bico moi grade guapisima."
18072862162465220,pt,é o que sinto!
18100874485384848,gl,saúdos!!!
18246877729218692,pt, boa terra
18018346954953628,gl,xenial!! . orgulloso de ser galego galego coma ti!!
17888847720005004,gl,o % de galicia e aldea
18231105022252592,pt,tanta beleza! esta guapa agarra-se a qualquer trabalho! as rapazas da aldeia sao uma preciosidade!!!!!!!!
18059679682530348,gl,"menuda parvada, vivo na aldea e non quere decir que teña que traballar na terra nin ten gando. podemos ser de aldea, ter estudios, traballar en outras cousas que non sea a terra. por eso non deixamos de ser de aldea."
18023738522056232,gl,unha grande
18026743240953660,gl,a causa mais bonitiña que temos en galiza e esta muller
17975360126532528,gl,"quen cho dí é veciño, non? ...."
17990481974436088,gl,os veciños coñecen ben o animal 
18009229409462764,pt,bastavales
18004085267214804,pt,afortunadamente 
18014374769205264,pt,"e que ademiais, eres fermosa....non se pode ser mellor. "
17854999017104056,pt,preciosa lucia regueiro 
18069107740467620,pt,"sin comentarios, a que vale, vale...boísimo lucía regueiro "
17943470069783484,gl,pois obvio que queremos escoitarte cantar !!! aínda estou agardando  
