id,language,text
18076114717470328,pt,o corvo undosnosos 
18018305627323332,pt,cando dades a convocatoria ?
18023115926054632,pt,bandeira trojan  máximo respeito do brasil
17901082184882832,gl,estaria ben que lle baixaran volume á musica da megafonia y berrara todo o noso estadio
17958825512732736,gl,algunha entrada para o rayo majadaonda-depor(privado)?
17972806028532094,pt,"que si, que este ano voltaremos "
18063198901517528,pt,ao partido mais importante da temporada van a facerlo
18037624399691304,pt,precisamente
17892350207934984,pt,tremenda escolla!
17997910160539872,pt,gañamos a eurocopa fixo! grande
17920086719874748,pt,atencion a tea do depor da tenda tejidos revoltijo.... esgotada
18015237971211176,gl,ahora mesmo haberia a tea do depor so na tenda do temple en rua constitución 
18040274035805604,gl,que recuerdos
17987442689436388,gl,a boa xente xuntase a seguir disfrutando do depor 
18005305781147752,pt,grandes
18335103511110608,pt,grazias por todo sempre
17858119173107344,pt,"sodes moi grandes, sempre é un pracer compartir momentos con vos!!!!"
18004379009435116,gl,a miña filla estudou co seu fillo....unha gran familia .grandes persoas ..moi humildes e respetuosos
18314114206183440,gl,moitos xogadores escaparon dos mouriño
18318651073133164,gl,para defender a unha lenda non é necesario atacar a outra
18046504441724224,pt,ainda non estamos salvados ehh queda moito!!!
18036868348714852,pt,"non importa, que coa claudioneta podemos ir onde queiramos"
18031596859698256,gl,nunca máis 
17909877923869222,gl,o modelo de xestión segue a ser o mesmo: esperar a ver qué pasa
18001692356115996,pt,outra vez nunca máis!!
17996086853608672,gl,"tamén podedes mercar a tea branquiazul na tenda leticris, na rúa constitución , o temple (cambre)."
18008555687512852,gl,que precio teñen?
17984080949631780,gl,sempre en loitaa 
17941330835683864,pt,por internet para os que non podemos acudir ao estadio???
18036449842857536,gl,"para min ten que ir mayo, pero hai que convencelo de poñer o "
18060936229528676,gl,"home, se johan cruyff xogou na catalana... non había ser menos que larsen xogase coa irmandiña..."
17970084299705416,gl,creo que ese é o obxectivo da publicación...
18332139046140668,gl,que me den unha malleira? que simpáticos jajajaja
18040222435747884,gl,"para a portería, iván villar, e para o resto de posicións, aspas por suposto, hugo sotelo, hugo álvarez,... non sei, proponde"
17913179090919094,gl,que me den unha malleira? que simpáticos jajajaja
18053406694603988,gl,preciosa a bufanda!!
18101937028346992,gl, oleee comezamos ben o ano 
18306485140199440,pt,volve volve! 
18008196437163428,gl,"estadio histórico pero é moito mellor que se xogue en riazor polo ambiente, nada que ver, corunha a capital do pobo galego, santiago a capital dos reises."
18026678143854272,gl,donde sexa festa do futbol galego
18027164098968636,pt,moi certo!
18117505603360580,pt,precio sudadera?
17995068794362556,pt,que chulada de sudadera 
18390895957076224,pt,vamos guerrera 
18046731847629352,pt,"enhoraboa, "
18024605861025324,pt,os amo
18022826629920036,pt,vamos!
18426929620017072,pt,allli nos vemos
17843034924199996,pt,vamos depor mi amor 
17983178930649050,gl,le amo 
18024827969079424,pt,non se pode negar que é a alegría de toda a plantilla
18001407449308162,pt,
17860196574090652,pt,un presidente orgulloso dos nosos deportistas!! grazas por levar a galicia a todas as partes!
17998315256544848,gl,deportistas da nosa terra. un orgullo para galicia e para todos. unha vez máis o noso presidente demostra que en galicia o deporte é de interese público
18055757764525168,gl,"esforzo + superación = galega, galego, galicia "
18027347621000772,gl,e unha honra ter o apoio das institucions como a xunta e do seu presidente e o vicepresidente 
18040637092775848,pt,sempre ao carón do deportegalego 
18430551580042976,pt,"vamos depor,vamos idiakez..."
18205408048304212,pt,don diego martínez aos teus pes
17882846819984118,pt,onde se pode mercar a camisola?
17898835817861524,pt,temos que demostrar a repulsa no estadio nom merecemos isto 
18017474738036768,gl,"mentras se traían mercenarios así será o conto, hay que apostar pola canteira, presumir da galeguidade do clube e quitar do nome do clube o de la coruña, iso da vergonha. ánimo forza depor"
18000472589086924,pt,grandes chavales!!
18017951531092396,pt,onde é o lugar habitual?
17878983459050934,pt,muchas felicidades mazinho!!!
18328264276102612,gl,sempre forza depor sempre en loita rb a.c.a.b.
18008820713111708,gl,xa tou dando a info
18218156905270688,pt,e nos vemos o domingo xa puse a alarma no calendario
17908525364941756,pt,jogou nos meus dois times vasco e celta!
18009775763123352,pt,a liga do 
17880213243043800,gl,"a fundación do noso club contra vento e marea nun instituto de ensinanza público con  deportistas e  equipos federados neste primeiro curso. o peor, a nosa instalación "
17920771172885124,pt,efectivamente!
18014146004201188,gl,a nosa selección 
17975853752689256,pt,o couto !!!
18040802431743576,gl,"homes claro, as mulleres non debemos xogar a fútbol"
18053853916582304,gl,"o estadio da igual, o caso e reivindicar a nosa terra, fala, cultura e a nosa selección!! todos xuntos dende vigo, ourense, pontevedra, santiago, lugo, ferrol ou a coruña  todos xuntos!! na data si que a cagaron un pouco pero a quen carallo lle importa a final de champions??!!"
18334890385119296,gl,tardaba en chegar o primeiro pailán
17854436778126384,gl,imosss a millor selección do mundo somos nos 
18024601175084528,pt,a camisola da irmandinha sem publicidade !!!!!
18020622988965364,gl,han de gañar moito facendo un partido. a cantidade de paiasadas que temos que ler non ten nome.
