id,language,text
17939742593742892,pt,sodes optimistas... 
18102219244358896,gl, teño medo...
18034854400607036,gl,teño unha entrada con bus dende santiago a venda.
17921705510713112,gl,"teño  entradas á venta, se as queredes, escribídeme por privado ;)"
17998800500326428,pt,"non me parece nin medio normal que co tempo que está e as previsiòns de alerta amarela por choiva e vento non se aprace,en fin € tirados o lixo,con este tempo é inviable nin con roupa de aghua"
18027502414670776,gl,"fatal a organización . non te xeito ningún realizar hoxe o pasabodeghas (por moito microclima que queirades vender). e por moita auga a que esteamos acostumados os galegos/as. está claro que a climatoloxía de hoxe, non permite disfrutar do pasabodeghas como debería ser: bailando nas foliadas, ao aire libre etc sen ter que estar apretados debaixo dunhas carpas, como os pitos. decepción total  pd: nós tamén vendemos  entradas máis tickets de bus dende santiago se hai alguén interesado/a."
18031815694617392,pt,vendo cleenex
17899695113895432,pt,"que pena todo o ano esperando este gran día e ter este tempo, que mágoa."
18054036616491176,gl,"desde logo este evento ten por definición catastrófico desde principio a fin...mala organización nas ventas acompañado d pésima información os que as vendian,e sen ir máis lonxe vendo a climatologia prevista non haber aplazado o evento,so se pode dicir que a recaudación pudo ser producente"
18128335363309616,pt,"para o ano que ven co pack, regalade botas e chuvasqueiro "
17972321759625288,gl,"sempre e cando non teñas nin idea de cómo se organiza este evento. si cres que o obxectivo e recaudar... non vos enganedes, un evento onde vos metedes a beber e comer en casa particulares... o falar non ten cancelas dende logo"
18285717070151100,gl,"non teño idea como se organiza,eso é certo,e o recaudar e maneira de falar,xa que en ese evento se ofreceno varias actividades que non se realizano,a sabendas do temporal por alerta amarilla que habia,e non foi o máis sensato seguir adiante co evento,pero esto só é a miña opinión"
18287400589178856,pt,"foi o primer ano que fun , no sabia desta festaza , eu paseino pipa malia o tempo que fixo , po ano volvo se deus quere e si chove que chova , un bo chuvasquero e unhas boas botas de auga e listo,"
17942197619723846,gl,"nos pasámolo pipa. agradecese moito que houbese unha carpa en cada sitio. moitas grazas por todo o traballo, e para o ano seguiremos apañando o millo!!"
18042567445529944,gl,"pero se non quedan entradas, eu qu"
