id,language,text
18018531160935904,gl,non podo darlle like a una imaxe de ia.
17945488760785246,gl,tamén aplicable ao de herbas 
17979246215659180,gl,"que preciosidade, unha increíble idea!!"
17852708634153792,gl,mi madriña do ceo
18303464719144648,pt,o fillo daquele
18036757024829208,pt,isto é real?
17901713726957440,pt,non é un meme
18297532054156560,gl,"e o de ""hoxe toca"" tamén está por ver"
18084085384436876,pt, dentro de pouco o reino chegará ata marraketch
17862609249068428,pt,"galiza ten que recuperar pontevedra do sur, o que alguns incultos chaman portugal"
17849682402164528,pt,portugal têm que anexar a galiza
18046648486570328,gl,"se lle digo á miña moza, que é de gades, que os seus antergos foron suevos... xa me ten negro cos fenicios e tartessos"
18024219896310376,pt, borra que isto é serio neno....
18061161736521384,gl, estás ti que si. portugal e o irman pequeño de galicia
17842924575186656,pt,"somos o mesmo povo. ninguém toma ninguém, no máximo unimo-nos num só, como tem que ser."
18106312381375076,gl,"quedáchedesvos curtos, o reino suevo chegaba ata sudáfrica, home. por certo, o reino suevo, o antecedente da nación galega. non coma eses españois fachas que pensan que o reino visigodo tiña algo que ver coa españa actual. queríades subir un meme e o meme é a vosa conta."
18119733244353996,gl,estou agora mesmo en marrakech e falei precisamente isto con dous portugueses e unha familia bereber  pobos irmáns todos
18044433658640836,pt,casi morre
18027345643802880,gl,tres semanas en coma
17865070215057132,gl,"vigo e o inferno en galiza, ata que coñeces ferrol"
18023979394742604,gl,"fck recesvinto, fóra os reises visigodos que voltem os reises léxitimos suevos."
18006919103038600,pt,non non non. os suevos eran uns mindundis extranseiros que roubaron aos nosos avós galaicoromanos a liberdade
18009764297515934,pt,faltou os de bahia
18038034178793884,pt,"carallo, direto ao curasao"
18031508050822116,pt,"galitzia, é de primeiro de"
18010677569098812,pt,buf meu....
18318388441130216,pt,esa foi boa
18065361856503864,pt,"falta galiza em cascais, portugal"
17989435466440968,pt,ría da arousa
18023708123021868,gl,si home si. o que ti digas
17918074976879080,pt,falta brasil.
17875597017047724,pt,"cantos """" se poden dar?"
17923321454771508,pt,que din os gañanazos?
17846337438172696,gl,"akira toriyama fixo máis pola lingua galega ca o ppdeg en  anos, entendo"
18005845259151734,gl,en  anos haberia que dedicarlle o día das letras galegas.
18118788976344748,pt,"eduardo pondal morreu un  de marzo, logo as feministas din que non é un día de celebración"
18418703338020096,gl,"digamos que pondal deixou escritos cuestionables sobre as mulleres, especialmente no que respecta ao consentemento nas relacións carnais"
17915566565909132,gl,"pois en galego a expresión “do país” refírese a territorios tan pequenos como unha comarca, concello, rexión ou comunidade autonoma como galiza. e por extensión de esa expresión díselle a galiza “país” independentemente da ideoloxía política"
17909132861841520,gl,cariño ve a expresións con “país”. es o votante do pp promedio.
18073592317433568,gl,"non o digo por iso, senón polo cabezón que es e o moito que che ofende que a xente empregue “país” para galiza cando é literalmente unha expresión que se leva usando moito tempo…"
18221306326278052,pt,galiza pais?
17867901681000284,gl,galicia literalmente
18055727506572860,pt,porque a qué xa hai não sobra e farta 
17994475949390366,pt,boca lo contrata para sustituir a cavani
18280400923087952,pt,jjjjjajava
17867303025079542,pt,km?? pero eso está eiqui ao lado
18053219905562748,gl,"""fé en dios e ferro a fondo"" dixo"
18043529872636392,pt,joder coegho antes molabas
18336059146102140,pt,"se é gratis, é um mitin paparota do pp "
18013918019272632,gl,que fai baltar saíndo no vídeo??
18051479002553024,gl,boliñas de pellets a feira con cachelos
18374562814072000,pt,patrão
17857329426148596,gl,un caso claro do perigo de 'engancharse nas redes'!!!!
18027147328883152,pt,podes usar canva tb...mais cuqui quedan os memeses
18393318358066604,gl,xa non paga a xunta...
18020698843855560,pt,lugourens vencerá
18048014086584680,gl,os tugas son panas
