id,language,text
18035351983843328,pt,en lembranza do teu amabilísimo pai
18005244362222384,gl,las de ferrolterra non teńen nada q envidiar a outras !!!
18003857189243114,gl,igual non a coñeces ti
18027991954951236,gl,ferrol del caudillo  os da tvg deberían saír máis da coruñistan
18010556120126646,pt,"hahahaha deixóu a gaioso noqueado, tardou coma  segundos en saber que contestar, e o público en ""xoc"""
17989681610466736,gl,porque tiña aforros se non nada
17854189074157730,gl,porque tiña aforros se non nada
18003466097262074,pt,despois non hai cartos… hai crisis… somos vaaaagos joder! vaaaaaaagos!
17900416250971552,gl,"non costa o mismo amigo…. como farian os nosos país…. madre mía! e despois croquetas! e sopa cos osos… e caldo para  días…. así nos vai… con g, móvil, netflix e comida feita…"
18047996893637632,gl,"a xente o que é, é preguiceira, faslle un par de potas e conxelad e tes comida toda a semana e ainda porriba máis barato."
18031810639901276,pt,caeu o amigo de frijolito?
18027188107845540,gl,agora xa poden darlle de comer ó pobre can que está no chasis
17980516664658842,pt,"o can traballa mais que toda a tropa xunta,pero e o que mais fame pasa"
18305694568146132,gl,"eu por  pavos, par de cañas e si eso un canuto, vou onde sexa "
17927998160848172,pt,menuda sociedade triste se temos que chegar a isto
18258779362235900,gl,isto ten que ser obra dun carracho informático 
18017603693017764,gl,eu quero marchar  días a brasil pero dame medo ir soa. por canto me sairía alugar un/ha amigo/a?
18292174813086296,gl,moitas grazas 
17989107959632712,pt,....
18276467947206356,pt,coidado co vento .. 
18431530996011196,gl, feismogalego
17958021902749286,gl,en lisboa é unha invasión...
18248624860221896,pt,os dos barrendeiros non son moito mellores
17972141915704184,gl,"das cousas que máis odiaba eu cando vivía en lisboa, nunca pensei que chegaran á coruña."
18007958222176568,gl,"en lisboa teñen os tranvias da coruña, vaia cambio de merda."
17918789861874690,gl,na coruña o que máis hai son comehostias!
18178349023294480,pt,no ves que está cerrado?
17984435006640690,pt,que no te dean un golpe .
18252368962223404,pt,totalmente de acordo contigo!! 
18030135079791800,pt,"a ver, cando eu me examinei alí, algo a gando seica cheiraba (dicían, que eu non teño ulideiras)!"
18068058256501960,gl,pov: tes unha vaca favorita (obvio é a chenoa)
17867285862053376,gl,qué santiñas son as vacas
18060384964558932,pt,esa vaca é ben bonita 
17938530911715954,pt,que bonito!!!!!!
18046322467647516,pt,"pous, mellor coas puxas alludando nos examens"
18016642760332024,pt,un pouco si. outras non
18030004201987312,pt,a cariña da vaca cando a acicalas ao principio
18085943053394076,pt,quereria eu ver as caras dos teus cando metiches o xato na casa!!! 
18235661035248724,pt,"nooo, eso es claramente um asturiano!!"
17910862592843136,pt,
17905971455867050,pt,misericórdia
17997798434335364,gl,"e casa vez hay xente que estudia menos e cree todas as cousas de internet, pero están vivos gracias ás vacunas"
17918845364874896,gl,pero que carallo lle pasa a xente????
