id,language,text
17933955347817880,gl,aaaaaaaa que praceeer moitisimas grazas!
18258873358233648,gl,suxerencia pra un filme ou mini serie dada a soña que está collendo shogun facer algo histórico… estou nunha asociación que fixo duas películas documentáis de lopez-linares deixo caer algún asesoramento ..
18025211669020016,pt,grazas por compartir no barrio tanto talento e afectos  toda a sorte nesta nova proposta e a bailar 
18004933283221428,pt,"companheiras, grazas a vós pola vosa xenerosidade "
18215854585283880,pt,sacachedes as quendas para maiores de idade??
17988232715406624,gl,"si, hai dous formularios activos desde onte ás . horas: para mocidade de  a  anos e de  a  anos."
18035760988774580,gl,"como se detalla no folleto, se obtés praza notificaráseche por correo electrónico e, senón, pasas a formar parte dunha lista de agarda. en todo caso, estamos á túa disposición no teléfono de consulta do programa para calquera aclaración a maiores."
17883115593028206,gl,lamentable! forza e grazas polo voso traballo!
17958325919737028,gl,o carne xove utilízoo para ir contigo ao cine yelmo no vialia 
18074487250479680,gl,para aforrar nas formacións
18041788045681104,gl,para mercar libros e viaxar pola comunidade autónoma 
17934999149816048,pt,utilizo o desconto para ir ao cine!!
18007908431147868,gl,descontos en viaxes
18038379865776872,gl,viaxes en
18115959994361600,gl,para ir ao cine 
18023984297015000,gl,para ir no tren
17856766995134162,pt,para ir ao teatro
17876250302999504,gl,para ir a museos.
17908223960927504,pt,para as entradas ao teatro en
18308674219177384,gl,para ir ao cine
18004914770434324,gl,para ir ao cine
18019021483955808,gl,para ir ao cine
18005770559456908,gl,para ir ao cine
18084282892437856,pt,para ir ao teatro!
18006817289159410,pt,uso para os billetes de
17916233249809308,gl,para os billetes de
18308014840181300,gl,para os billetes de
17996228150576172,gl,para os billetes de
17985320087492152,gl,para os billetes de
18009213269122148,gl,para os billetes de
17990149208430838,gl,para os billetes de
17876110779000486,gl,para os billetes de
18034905907872088,gl,uso o carné xove par ir ao cine
18292745071095736,pt,para ir ao cine mais no tren
17970627284697908,gl,"eu uso o carné xove para descontos en salas de cine e zapaterías, aínda que tamén se pode usar en viaxes en tren con"
17958323789742548,gl,para os billetes de
18248573470217576,gl,uso o carné xove para ir ao cine en cinesa
18021966866089016,pt,para viaxar con descontos!
18022952906316856,pt,para descontos
17948682482785628,pt,e para traballar como monitor? onde se pode anotar un?
18265436704239376,gl,a mellor forma de conciliar para as familias???? comezando os campamentos un luns-martes e rematando mércores ou luns (segundo sea de  ou  días) é moi doado conciliar as familias para poder levalos...temos que pedir os días nos traballos. sería máis doado se comezaran ou remataran os fines de semana.
17860768614107058,pt,será que o fai por saudade...
18059348422483344,gl,a morriña e o que ten
18428769580044240,gl,non se poden leer o topónimos...
17911621433831208,pt,"non só o map. adgt, a xunta, moitos concellos, google, etc."
17904216017957026,gl,ojalá ese lusco fusco… me da que será como sempre eclipse de    
18007628195180964,gl,en arteixo chove
17989222127474638,gl,e serei avoa un día e farei o mesmiño 
18040674043787296,gl,tal cual eu non podía por os pes no sofá e meu fillo brincaba 
