id,language,text
18031022539900672,gl,"non o podo crer,  ano! incrível, que válidos! un bico moi grande  oxalá coñecervos algún día "
18026287900850888,gl,xa un ano 
18001111700585126,gl,seguro que algún día nos conocemos! biquiños
18131142946326740,pt,que ben fala este home 
18048826288720308,pt,o mario galaxy. non me baixades dese carro
18020306519110472,pt,na segunda-feira às h jogas o final... entom que dia jogas o fantasy?
18001940510436768,pt,que xogo é
18047814211613616,gl,o euro truck simulator  coa expansión iberia 
17988851456633020,pt,pero é o  ou  ao final?
17997531251580296,pt,só vexo goats
17942044127685708,pt,cal é o xogo?
18036183115662380,gl,xa me gañaches xogando a este xogo 
18005854418365092,gl,teño que probalo jajaja
17876423322059840,gl,"algún cachiño da a e a. o máis distinguible, alfoz (telo no noso youtube na entrevista con dani castro) "
17990884940419836,gl,e que alegria!
18007211852514368,pt,nazionalismo pepero   para gente normal solo queda 
17953326410709584,pt,ata a idade moderna falabase gascón no centro de nabarra
17871333216021532,gl,e ata hoxe falámolo na fronteira norte!
17998256996564032,gl,tiven que velo dúas veces para darme conta que non era o orixinal 
17863958187069222,pt,que marabilla por favor!
18006424979245892,pt,"con certeza, de facto dedicamos un episodio a estremadura no que entrevistamos á boa xente da"
18406816027017416,gl,"eu tiña entendido que nas arribes del duero, en salamanca, tamén había falantes. non o puiden comprobar persoalmente, así que non o podo afirmar. "
17886864107922700,gl,"polo que puidemos ler esas falas asturleonesas perdéronse durante o século pasado, aínda que hoxe os paisanos empreguen algunhas formas e léxico do asturleonés no castelán que falan. no sur da provincia, na serra de gata sobrevive a duras penas a palra d'el rebollal, que é unha variante do asturleonés máis próxima ao estremeñu. neste mapa incluímos esa fala https://www.instagram.com/p/ctjdesoan/?hl=en"
17883186695954362,gl,que tía chulisima
18016825400000904,gl,"noraboa  estou movendo fíos meke meke, para que o encargado da entrega dese premio sexa oliver laxe "
18035764243831656,gl,todo o mundo sabe que vai gañar oliver laxe
18045555583657060,pt,parabéns equipazo!! 
18048438106569992,pt,grazas por confiares en nós 
18027111253816584,gl,"uoo, o % das irmás piñeiro "
18112308898364044,pt,guapo!! 
17990337947405644,gl,% super % piñeiro 
17843659089193848,pt,que bonito todo!
18012921932036688,gl,"guapaaa!!!eres unha crack,no cavies"
17965438199606138,gl,o deseñador/a desa camisola ten o ceo gañado 
18329081716138448,gl,graciñas! telas na nosa tenda en recunchogamer.gal
17997477551333410,pt,o libro é amor líquido de zygmunt bauman
17854193919124876,gl,eu soamente digo unha cousa: jagger 
18028207894984024,pt,bauman é totalmente facom coded
17941884470699804,gl,unha das mellores anécdotas xamais contadas no faiado 
18013241924326724,pt,a candidata que non deixa indiferente a ninguén... a mellor candidata posible! 
18412062520040776,pt,a etiqueta non se lle pode quitar a miss deleivaca non? 
17859491637082456,gl,edicións limitadas 
18023412553996408,pt,epaaaa faiadismo ou barbarie!!!
18010482017469752,gl,encántame 
18416722903024360,gl,eres unha tía chulísima jajajajaja
17980082765505460,gl,lindiña 
18018934271109196,pt,total!!! 
18428202937047032,gl,"unha aperta xigante, guapísimas. sodes unhas raíñas "
18024816551307608,gl,só me queda preguntar onde van as miñas fotos xantando nos picos de pan
18008209415377148,pt,perfectas!!!!!! 
18001595201296864,gl,aínda non me lembro de ter autorizado ser a imaxe do faiado podcast...
17989043957381492,gl,recordasnos que telo todo é o que somos nada mas y nada menos. a min tamen me encanto o xeado
17987065799610122,gl, que guay compartir camiño
18034624321801100,pt,
18025857754909504,gl, amoriña
17990056196356508,gl,a min encántasme ti (e os xeados)
18011301002065040,gl,bonitiña
18045905752618800,gl, grazas a ti por aceptar a invitación e vir a presentarnos o teu proxecto. contaxiachenos o teu entusiasmo!
18017308868485156,pt,que orgullosa me sinto !  sempre crecendo 
18050986552578428,pt,parabéns!! a cigarra pode estar ben contenta co traballo!
17932700471731090,gl,moitas grazas a ti david
18020791666939680,gl,amando este post  non podo estar máis dacordo coa selección 
17888372481006000,gl,graciñas 
18038540548769832,pt,"que vivan as reivindicacions, a liberdade, as artes e a xente bonita que pensa nos demais. grazas por elexirme. "
18005807480520680,gl,falta o precioso vestido de confecionado polo gran 
17897910905902160,gl,eu de verdade que non sabía de que taba falando pero ela tamén leva o cariño de toda esta xente
17893691054916652,gl,"o detective conan o mellor, pero onde está codigo lyoko "
