id,language,text
18024311672294276,gl,que bonito! grazas
18264160222238824,gl,"os nichos ten varias bocas, cada boca andará sobre os  €"
18290115337164508,pt,fan brasileiro 
17917317806910330,pt,"fogo, a é bem alta comparando com a "
18027606979847352,pt,cada vez me impressiono mais como galego é parecido com português
18023581493314344,pt,"galego e português, línguas irmãs. amo o acento galego e os milheiros de sinônimos. a galícia é riquíssima nisso."
18023172392315704,pt,alegria da esther é muito contagiante 
17997503618561432,gl,vaia dúas!
18086892832437600,pt,sempre linda esther. como amo
17901501977967072,gl,"vai o ferrol. alí o pp nom gusta da galiza nin do galego, como nom."
18182524312289336,pt,como que non é kkkkkk?
17874242046073400,pt,"só os brasileiros (ou os portugueses quando escrevem sms, mas só nesse contexto) é que põem kkkkk..."
17953235708653642,pt,que guai!!! que envexa!
18231739750257660,gl,eu son fan de poñer kkkkk para rir
18017002262023904,pt,tira as vírgulas e junta tudo. fica melhor e mais fácil de escrever até.
17985622070649592,pt,españa  : jajajaja portugal  / galícia  : hahahaha brasil  : kkkkkkkk  como é que isso aconteceu? quem faz esse som quando ri? 
17870465508088418,pt,"em portugal usamos o ""ahahah"""
18025940356887408,pt,ha ha ha ha … levas anos rindo en galego e non o sabía…
18027423611067916,gl,vaia dúas curriñas!
18030174634825664,gl,"ha, ha, ha. que alegría coñecerte bonitiña"
18004531781215232,gl,a xente que se entrevistou e para darlle de comer aparte......
18303184960140740,gl,o teu programa de referencia 
18236644435231596,gl,ninguén ó volante
17870270738942628,pt,estou enganchadaaaa!!!
18117778729316560,pt,morro con vos! sodes uns cracks
17996271446017012,pt,outro domingo de festa rachada
18197088181284868,pt,me meo contigo! 
18039029887671544,pt,idêntico ao português. amo o galego.
18000167168528476,pt,e a parte da carne do porco?? tamén se di secreto ibérico??
18026866510983388,pt,"semelhante ao português. segredo é substantivo. secreto, adjetivo."
18393007849072732,pt,"sim, mas secretos de porco preto também é outra coisa e são divinais."
18021718798942200,pt,igual ao português !!
17932775711745304,pt,segredo: substantivo.  secreto: adjetivo 
17856079569150236,pt,não sei o que são secretos de porco preto 
18078870046460600,pt,és brasileiro?
17864766201067318,pt,"em português (portugal) o ""secreto"" também é uma parte do porco."
18184310524291332,pt,a diferença é português também é que „secreto” tem o „é” aberto
17981310152655736,pt,"semelhante nom é. é igual! estão-te a explicar o mesminho que em português e dizes ""semelhante"". "
18053498641590368,pt,"na variante brasileira na língua, usamos semelhante para aqui que se assemelha, que tem semelhança. aqui entendemos semelhante para coisas idênticas ou parecidas. portanto, eu continuo entendendo meu comentário como pertinente. sacou? "
18065404207507296,pt,é uma parte do porco preto grelhada na brasa. típico do alentejo... então com umas migas de espargos... ui ui
