id,language,text
18011934971259932,pt,"moitas grazas sempre polo apoio, compa"
18218872258278104,pt,moi bonito este repaso! noraboa e a seguir 
18089735398414156,gl,"moitísimas grazas, compa!"
17845040970173642,gl,grazas por facer un proxecto tan chulírrimo  noraboaaaa!!!
17975471219521024,gl,"moitísimas grazas, compa por iso e polo apoio"
17962369250711280,pt,"grazas polo apoio, compa"
17862416988102510,pt,que fermosura!
18111249223368288,pt,mais feminismo e menos xenocidios. forza. a loita continua
18011789021261148,gl,"ai! sempre fas unhas ilustracións que din tanto, tanto ."
18018128054488524,pt,que marabilla 
18102597874379612,pt,e non queda outra se queremos seguir vivas! 
18011523257060932,gl, jo! moitas grazas ! que teñas un jran día!!!
18035927863792032,gl, moitas grazas concha!
18025299103977728,gl,o hórreo de carnota
17976178421526600,gl,"non ajajajaaaj elas son de negreira e eu da zona de verín. normalmente, cuanto máis camiñas cara o oriente de galicia menos hórreos atopas, así que digamos que o que vin eu en carnota foi a miña primeira vez vendo eso pero si!!! créoche ben o de que inventos do tipo parabólicas pode habelos en docenas ajajjaaj"
17926573682762004,pt,p.s. parabéns polo traballazo!!
18110500591368176,gl,"son un mundo si! hainos de moitos estilos diferentes, en verín igual non se atopan moitos pero algún por negreira haberá! eu por non polerlle unha cruz, levou antena, é outra relixión tamén!"
18044524540647980,gl, moitas grazas !!
17962000400717478,gl, moitísimas grazas !!!
18023014333860280,gl,que estupendos os disfraces! 
18004244252182448,gl,"ola xiana! pois en www.deicacreacions.com , ou nalgún dos puntos de venda. en compos están en ""cousalinda"" ou na nosa casa. "
18007617626170980,pt,que boas fotos!!
18228540172258272,gl,"ay, esas nenas da primeira foto con cadansúa ""fechiña"" de viño "
18049246831593568,gl,que chulo !!!
18082388668440812,gl,por cinco anos máis!! 
17904553904859072,gl,moitísimos parabéns! e por moitos anos máis! 
17955649778744434,gl,"moitísimas grazas sempre, compa!"
18088410718390356,gl,moitísimos parabens 
18006919259372752,gl,moitísimas grazas por todo sempre
17964463301604056,gl,moitísimas grazas!!!
17895738971956550,gl,"grazas a ti, pola túa xenialidade e creatuvidade"
18261509116205048,pt,hermoso!! y colgante de panal?
17896451537930064,gl,preciosos!! o conxunto encantame!!
18025956733708628,pt,namorada 
18001902800261942,pt,que preciosidade!! 
18146639989307464,gl,moitísimas grazas 
18013691192055484,gl,graciñas compiii
17896179311904356,pt,todo dito!  
17999337383279834,gl,"paréceme bo o contexto que se quere dar co vídeo... pero agora sí. coller a dous mozos que non teñes ningún xeito de coller a sacha, paréceme unha deshonra pra os nosos maiores... xa non digamos, que sachan sempre no mesmo sitio. non quero crear polémica nen moito menos... pero polo menos, cuidar eses detalles. bo día da muller a tod@s "
18028556182905664,pt,"o do catecismo, sobra se falamos de feminismo..."
18017390885123732,gl,é un video feito nun instituto polas propias alumnas. esta indicado na descripción.
18428311828039756,gl,"é un video que describe a realidade dunha familia do rural, e a maioría da xente que se criou nese contexto tocoulle facer a cataquese (por desgraza ). obvio que non se reivindica o catecismo nen nada semellante"
18041339239665324,gl,a miña familia a e a de tantas outras 
17921029658855692,gl,a avoa non lle pagaron por traballar! ainda pasa
18126841507333628,pt,"que fermosura de brincos, colares, aneis... quéroos todos "
18108667234354264,pt,"alaaaa, felicidadeees bonicos "
18109398358344328,pt, anos marabilladonos a todas 
17932107341685202,pt,parabéns!!!! non son capaz de escoller....son todos tan bonitos 
18032723173643600,gl,moitísimas grazaaaas
17906038031857392,gl,moitísimas grazas de verdade 
18002143604475496,gl,graciñas a ti compiiiii
18391012369062280,pt,que bonitos
17856492867089010,pt,modelas grovias!
18020485172082296,pt,a seguinte 
18056718226490312,pt,de quen é a música? 
17994312206329080,gl,"é seghadoras, de tanxugueiras"
18021267520868056,gl,que chuladas 
18003909125162296,gl,moitísimas grazaaaaas 
18008200810920244,pt,qué preciosidadeees
18335945587115812,pt,é incrível
18007566332364988,gl,"moitísimas grazas, compa"
17953394531695732,gl,oh!!  grazas!! estou namorada do resultado!! graciñas de corazón!! 
18035196973544584,gl,graciñas a ti é super lindo saber que algo que fas coas túas mans forma parte de días tan especiais e bonitos! estabas fermosísima 
17865325503003934,pt,precioso 
18008346034895344,pt,"que delicadeza, una pasada de joyas"
17853942894063674,pt,qué preciosidade
17992599545464086,gl,que preciosidades!!  noraboa polo traballo!!
17856859398051500,pt,preciosas! 
18036756976597960,gl,graciñas nai
18271386067086000,gl,graciñaaaas
18269959996092784,gl,moitísimas grazas
18007592099063344,pt,encantame!! que bonito!!! noraboa
17932638164771244,gl,moitísimas grazas compi
17979463583571368,gl,teño q dicirte q son elegantes e dunha delicadeza abraiante.noraboa
18046427095521032,gl,moitísimas grazas
18035072068834188,gl,moitas grazas 
17989142963197532,pt,preciosos 
17927421779788918,gl,graciñaaaas
18007169243020132,gl,graciñas cris 
18390899506034484,pt,que preciososs
17855336253031866,pt,oooooh!! que chulos!! me encantan!
18309812596187900,gl,namorada do meu colar!! moitisimas grazas 
17983190867408920,pt,aí falaches! 
18153570712305808,pt, feliz ano!! 
18016694234057664,pt,bo aninovo!!!!
18016183222804736,gl,moitísimas grazas 
18004850681432888,pt,"nunca, a cabeza non para nunca jajjajajaja"
17888941388926128,gl,moitas grazas alberto!!! xa tardaba en saír a cunca
17936314658750972,pt,feito!
18015258415974592,pt, pois é verdade!! moi riquiña a xente de 
17984385230324942,pt,
18325944511138072,pt,abofé q si
18276285133204376,gl, eso é o que se chama retranca  
18019114973485088,pt,a mín que me den os percebes grandes!!!!
17845168842184320,pt,non presumimos do que non temos 
17926249418689054,gl,non sei se chegarán a nadal  pero a voar seguro!! 
18083482297387528,gl,nalgunha que outra comunidade de veciños xa nos dixeron que temos que fabricamos con cadeado 
18001362479149052,pt,vouchedareuatirula 
18004968071216072,gl,"esa camisola mola moito,  anos da morte de un músico e trinta anos do nacemento de un mito "
17996739920558960,gl,a clase non entende de idades 
18021204701121824,gl,"a máis idade, máis sabedoría, máis estilo e máis auténtica!!"
