id,language,text
18047468728630628,gl, moitas grazas a vos!! 
18312505912121612,gl,que ganas de ir ao cine 
17915422043896022,pt,moitos parabéns!!! 
18027740761914160,pt, parabéns equipazo
17993231591595492,gl,"que ganas de vela ,sabes que me alegro un mundo"
18021106592079056,gl,oooohhhh que ganas!
18025952605988784,gl,"non podo, teño xornadas de endometriose en lugo. para outra proxección"
18426262030001028,gl,"seguro que hai máis oportunidades, claro! que vaia ben a xornada "
18023423153057504,gl,que pasada recordar aquela inauguración e ver o voso camiño estes anos!! moitos parabéns sodes incribles!!
17970447395562192,gl,"e que ben acompañadas sempre, eh!  moitas grazas!"
18161305795306520,gl,"si, a por outra ducia!!  grazas"
17966911916707810,pt,enhoraboa
17860037442121428,pt,os pelos de punta
18019005719145200,gl,fantasía de gala que fixéchedes 
17889521190005248,pt,que gala tan fermosa!!! o corazón desborda orgullo!! parabéns a tod@s!! 
18069379714493384,gl,grazas cris!!
18019952672159028,pt,a festa dos case  anos da tvg.
18025821736993672,pt,é o máximo pixuuus
18055432081511168,pt,aiiii o mellooooor este rapás
17994710147539364,pt, muito feliz com estes prémios! bravo! parabéns a todos!
18345599281100900,pt,parabéns 
17852709180151794,pt,a felicidade de poder estar aí
18261804457229608,gl,si!! que ganas de que se vexa e se escoite. grazas!!!
18274590256204040,pt,daleee meiga!!! non te haga la difícil che!!!
18342569560110368,gl,falaches de pobos nórdicos e faltouche os paises bretóns pinos celtas do sur
18020553280950336,pt,anotamos!! 
17990702573438326,pt,vamooooosssss muita merda hoxe equipa!!! a desfrutar do éxito 
17866909512079208,gl,unha pasada a serie!! de verdade. moitísimos moitísimos parabéns. imposible non emocionarnos hoxe 
18331071379191272,pt, o premio de honra fernando rey nesta xxii edición dos premios foi para eva veiga parabéns a todos os premiados e finalistas! 
18023790527047444,pt,a pena que as veces temos é a de que se acabara 
18072956956472760,pt,preciosas
18412408390067260,pt,pero mercedes non pode parar de ser entrevistadoraaaa
17996339765617114,pt,aspirando a pouco
18027794230978940,pt,"ela, que non ten bizum"
17936427347723052,gl,o poder das disidencias para mudar a norma 
17854281849153064,gl,moito power! 
18012439511468764,gl,ollo ollo que tremendo power 
18119527819321452,pt,enviado a analís!! 
17996013482572768,gl,guapísima reflexión triposa 
18048669724618960,gl,grazas 
18260860267225612,pt,o complicado
18178665538290872,pt,ia dizer algo sobre a risa e assim pero puxose so isso do complicado assim k vou deixar o comentario assim sem contexto na honra do delírio
18043575394728212,gl,unhe atopa o delirio nos camiños que colle para evitalo 
