id,language,text
17921763932717716,gl,"esto foi unha experiencia relixiosa, rediós!"
18008993561048888,pt,auditorio municipal wiii
17999583674336804,pt,un luxo de concerto!!! 
17992409705161006,gl,jodee que pintazaaaa!!
18009508177997146,pt,bravíssimas 
17981160932581648,gl,graciñas amigo queridiño!!!
17992945424183548,pt, calentando la voz muito bem
18024274390884896,pt,qué grandes! maxia pura! 
18259856686168496,pt,queremos quedarnos a vivir nese concerto para sempre 
17995117301621538,pt,locura 
18026649232954848,pt,os millores
18336666163117780,pt,me cago encima
17997617255572840,pt,"volvestedelo conseguir, sodes uns grandes "
18300752737198740,pt,foi brutal 
18031401271905024,gl,non hai caracteres sufisientes en comentarios para todas as jrasias que teño que darlle ao equipón que fixo posible esto
17934883835730612,pt,que santisima barbaridade de concerto!! rapants fans juligans sempre!!
17979876881656090,pt,cracks. sodes uns fenômenos!
18052670629599412,pt,os mellores
18303776350145072,gl,as camisetas dos rapants fans juligans aínda non secaron de tremenda sudada 
18014479103269912,gl,enormes xorbos!!
18002945924408392,gl,non teño palabras para ajradeserlle a xente que fixo posible que viviramos esto
17974823732532308,pt,os mellores
18222205276284028,pt,afortunad@s as que conseguistes entrada 
18043880899642088,gl,haberá que ir ver aos rapases jeje
18006106442134522,gl,sodes moi grandes. agora que comece o baile! quéresevos 
17991488264360880,pt," album, e o  en primeira fila, noraboa chavales é increíble o que estades a facer "
18116239672360284,pt,os mellores 
18247479526244368,gl,non podo esperar a escoitar country asesino
17843761095174444,pt,desexando queimalo
18017232878293352,pt,que viza zapata!
18056199229543568,gl,ganazas de escoitalo
17947629944782080,pt,"queremos outro adianto, senon ir a capitol vai ser peor que preparar a selectividade! "
17908717067834120,pt,vamos!! vamos!! 
18327872989185812,gl,pois temos unha camis de chusma x rapants guapisimas preparadas 
18021062939016744,pt,jrasias por formar parte amigo
17987254493453888,pt,a vós oh 
18027391153806500,gl,por pouco tempo fijo.
18305567299176344,gl,a traballar 
18020878517021520,pt,vense un fito da músika gaiega 
17969707355693486,gl,moitas ganas de escoitalo e bailaloooooo!!!!! 
17858156466101176,pt,cada cousa que facedes é mellor. sodes top 
18026650660769160,pt,"mimá querida, isto pinta incrible"
17876939981981504,gl,toma! que pasada!!
18089028319413712,pt,"compositores , músicos , artistas …locura "
17844135303168396,pt,que puta barbaridade de tema e videoclip! simplemente arte
17980414616660792,pt,soa impresionantemente ben! é emocionante :^)
18020520989490636,gl, pois vén o xoves! 
18047523517652856,gl,adoramos tarta relena. referentas máximas! 
18042395872697760,gl,"descubrinas fai uns días, e non collo na cuncha (cuncharelena )"
18026429443875380,pt,
18027426467063096,pt,concerto para o recordo 
18026109781875740,gl,as nosas súperamigas 
17969815964589682,pt,cagoná non me enterei...que maravilla
18421227451005444,pt,força ! 
18021385010088104,gl,que pasada
17916136973894926,pt, encantame 
17993044889610128,pt,que fermosura!!!
18024524095953688,pt, 
18022879805068104,pt,
17853192507141480,gl,os peliños de galiña  marabilla
18015705581325712,gl,aquí un breogán vigués 
18028202512781296,gl,sodes mulleres lotadoiras! grandes!
18002935760199964,gl,averno gustame moito  un saudo
18011629514295104,gl,foi unha marabilla!  por muitos anos máis 
18023259343880040,gl,"por outros  anos máis, mozas!!!! "
18304054492131704,gl,"sodes unha marabilla compañeiras, pracer enorme!"
18298908553181352,pt,o pracer foi noso!!! aos teus pés 
17846124138113652,pt,que marabilla!
18015065192009516,gl,muiñeira de mangüeiro
18143188033314112,gl," lume ,querémoste!!"
18036103237798736,pt,lume aí 
18424539340000860,pt,es queeee  mellor guitarrista sobre esta terra (como feriante un pouco peor )
18033619780845440,pt,que alegría ver a nesta nova aventura! 
17988581192453316,gl,o máis mellor 
17925152402845332,gl,"alaa, grande carliños"
17898717572966900,pt,aaaaaa equipaso!!!!
17858880696110860,gl,"que pasadaaa!!! canto talento e bos corazóns xuntos  a por todas, "
18089703358419844,pt,grande amigo
17894361683982386,pt,que guaiii 
17915175677903160,pt,grande! 
17923351640851160,pt,olé
18219407119279928,pt,grandes!
18040032136706792,gl, máis que merecido
18002274323400616,pt,sanguebom!
18023464384878256,pt,"parabéns, muita sorte"
18345920446099312,gl,vinde a delémont!! que aqui tamén hai moito camariñán. vaise sentir como na casa! 
17997492113579024,gl,"agardando con ansia o  de maio para vervos por aquí abaixo!!!!!!! traede viño, oh!!!!!"
17971370333570304,pt,bonicas todass! 
18333276514113512,gl,querémosvos tías 
18076238824462296,pt,que emocionante 
18332992075114788,pt,temazo seguro...como todo o q facedes 
18041844652686388,pt,e nós!!!
18015995663181192,gl,moi grandes!!! janiñas por todo o corpo de escoitarvos. 
18018601358174640,gl,buff grazas 
17877146018998304,gl,artistazas todas 
18327859492142084,gl,encantame está xuntanza
18424410223013352,pt,guapas os quero
17978797223512108,gl,que boooo!!! con mp unha gran familia. parabéns. eí bailou a miña filla mais eu
17976308585528918,pt,sedes o maximo
18104685397380480,pt, precioso 
17913015932874284,pt,tan buen rollo que nadie o quer perder 
18115411843354744,pt,xa me diredes canto hai que pajar
18017288237175512,gl,"a chorar porque xa non son dous e soan coma se foran  . grazas por facer que cada concerto soara tan ben coma o anterior, foi un pracer verte en cada escenario "
17920611884786054,pt,"familia prometemos coidalo moito. avanti todo, non hai fronteiras"
17872232289065080,gl,moitísimas grazas por todo o teu cariño que nos distes por ser o músico maravilloso isaac moita sorte te votarei de menos que teñas sorte para a tua etapa xa nos veremos na gira que teñades moita sorte  bicos 
18023554627990352,gl,graciastanxus!!! foi unha etapa ben bonita e chea de emocións! por suposto seguiremos a vosa nova etama con moita atención e espero seguir vervos pronto rompendo moldes e derrubando muros!!! grazas por ter contado conmigo todo este tempo. forza equipazo!!! 
18014001383512932,gl,"moitas sorte na nova etapa,isaac!!"
17950523726771892,gl,"a ver, alégrome por guadi que leva a este músico impresionante, alégrome por isaac porque vai con guadi, que é un amoriño e unha artistaza, pero sinto moitísima pena de non poder seguir véndoo canda vós. supoño que terá os seus propios proxectos e guadi é moi boa compañía sempre, pero . moitísima sorte isaac, teño agora mesmo a sindrome do niño valeiro. bueno, moita sorte a todes, "
18030074986902896,pt,o mellor do mundo artistazo!!!
18082538644439760,gl,moita sorte para todos nos vosos proxectos 
18001377785432928,gl,"grazas por acompañar as nosas tanxus querelas e cuídalas tanto, sorte nesta nova etapa. listas para a xira  con unhas ganas tremendas de volver a vivir os vosos concertos "
18053018572576700,gl,quérote tantísimoo!!!
17861434026101316,gl,grazas por todo meu amigo! quérote moitísimo
17950488698775344,pt,e eu a vos!!!
18014602628015412,pt," grande isaac  grandes tanxu todas!!!  camiñar...non hai fronteiras, a contrapunto e cheas de vida! alegría de despedida! alegría no reencontro! sempre avanti!!!"
17915856530900788,pt,isaac formas parte de nós para sempre 
18017838263152668,pt,"viva a musica galega, viva a cultura galega, viva galiza!!!"
18023546309085856,pt,"parabéns, chulísimas a capa e a contracapa"
18317085316123828,pt, adiante!!!
17989275080460866,gl,"o q comezou sendo nomadas convertiuvos nun grupazo de chulitas (ben) q fan moita leria e dan moita vida. racháde(me) con todo ata facer lume, queremos ir bailar! e vos seguiremos coa brétema ata o final tomando un blaidin lais (guaris nais). sorte ruliñas!!!!!"
17858006637119164,gl,noraboa!! currazo tremendo 
18427699099045952,gl,noraboa cracks!!! un pracer poder dicir que compartimos escenario mais dunha vez!! sodes enormes! 
18030280693778164,gl,noraboa! desexando escoitalo
18016215344191972,pt,non nos dá chegado a hora de vervos coa nova xira! 
17892483191935652,gl,que ben o pasades!! 
17996163239349384,gl,hoxe por fiiin é o día de vervos en directo!galicia calidade por euskadi!
18295912540085836,gl,gañas de voltar veros 
17926790378771708,gl,ganazas de poder disfrutar desta nova xira !!! 
18012454529105856,gl,"donde ides arrasades,por qué: sodes as mellores, moito ánimo rapazas e espero un fin de xira, como mínimo como o do ano pasado,vexo moi difícil de superar, pero sei con quen falo e sodes capaces de eso e de moito mais.un abrazo enorme, querovos moito, gracias por estar ahí "
17878342967999324,gl,disfrutar moito rapaces 
17848875909145260,pt,non se pode ser mais chulitas ben
18033063571577128,gl,aínda flipando con todo. grazas por facernos vibrar coa vosa arte! 
18002477927091252,gl,sumastes a un día único uns momentos inesqueciibles... grazas grazas grazas! 
18003764321432422,pt,fora do de sempre
18021743792089668,gl,si a alguén lle sobra unha entrada que avise porfavor dame igual o día!!
17997631052543784,gl,que ganas 
18120848803346560,pt,ali nos vemoss
17873543040063112,pt,regalademe duas entradas 
18045053797713996,gl," información adicional se fumas dentro podes perdes os cartos máis o concerto, asi que esperade a que toquen mojito caribeño"
17859210813111532,pt,o bo/boa samaritano/a que non poida ir ao final e me venda a entrada/s estareille ajradecido
18119636719318740,pt,pf e q son o meu imperio romano
18081300928443200,gl,conciertazo  facia tempo que non vivia un directo coma o voso
18324096421189220,gl,preciosisimas guapísimas que estáis por dios querovos moitisimo 
18021183566016688,gl,que cuquisimas 
18052291141510572,gl,sodes as máis bonitas 
18025029061835656,gl,miñas nenas preciosas  como me gusta vervos disfrutar e que todo o mundo quera colaborar con vos  non podo estar mais orgullosa de vos 
18019193774302384,pt,que fantásticas sois
18040121557674336,gl,pero que tres deusas !!!! 
17944049081676060,pt,divas ...!! 
18069954388468480,gl,bonitiñas
17966730224687636,gl,as tres mellizas
18016600573973476,pt,"disfrutade moito, que non é solo facernps disfrutar a nós!"
18001449998092912,pt, parabéns!
18035894698698880,pt,que bonito foi volver a vervos
17888309576932202,pt,que alegría que isto estea a acontecer!
18074245633458176,gl,o bonito que e vervos ahí xuntas  quérovos
18225721297267100,pt,guapasss
17946914342780098,gl,"que lindo é vervos sempre ás  xuntas enriba dun escenario, por moitos máis "
17954360459742196,pt,"ai dios que preciosidades sodes miñas nenas vin videos e estivestedes maravillosas! onte xuntaronse as referentes da música galega, historia viva da música galega, non podo estar mais orgullosa de vos  viva a música galega e longa vida as tanxugueiras e as fillas de cassandra, querovos pola vida "
17987753114427794,pt, guapas
18041048845661208,pt,"preciosas coma sempre igual que curando todo coma sempreee queresevso moito chicass,"
18335400430105992,pt,foi todo un privilexio poder vervos en directo as  xuntas 
18328666471129564,gl,grazas por acompañarnos nesta noite e sempre. querémosvos e admirámosvos 
18071764573479812,pt,kmanho durmindo top
18023161424092020,pt,nadie durme coma ela 
17988786053438000,pt,que magnolia tan efusiva  / a escoitar esas músicas do 
18037324042655396,pt,
18118954390345792,gl,"tendes que ver o que están facendo as de pola saúde menstrual e oceánica  a conclusión do texto de forocoches é o mellor exemplo de transculturación desde os escritos de fernando ortiz ""contrapunteo cubano del tabaco y el azúcar"" "
18018746783118300,pt,que temazo
17928229055749164,pt,é un temónnnnnn
18233669470252304,gl,solo xente maxísima neste lugar!  podemos volver.... mañá??
17952501329774502,pt,o seguinte na razz 
18016275377211552,gl,grazas 
17891630909940232,pt,é 
18076361011467716,pt,"grande!!! que ben o montaches, amigo "
18431140306020900,gl,"insisto, o próximo traballo tédelo que levar á razz mínimo"
18055364725576664,gl,espectacular traballo!! moitas grazas 
17921657297891492,pt,"sempre gritando en todos os bolos a pava esa, a ver se cala a boca"
18006636569386750,gl,a pava esa é marabillosa 
18346891783109744,pt,grandes familia!!! 
18013410500205262,pt,vós e luísa 
17980351961658514,pt,"e nós os galegos sabemos ben diso, non hai mais que mirar o toxo "
18390524389077412,gl,e non hai dous sen tres asi que…! 
18315012400193064,gl,á próxima unha foto nas bandeiras como os da tele
18002977097271016,pt,"gracies a vosaltres, sou collonuts,i gracies per fer feliç a la ,espero que torneu aviat sempre sereu benvinguts,un concert brutal"
18024597904894280,gl,boa viaxe chicos!! e a por todas! ides arrasar 
18024255728035000,pt,"obrigado, amiga "
18028524673839864,pt,vémonos esta noite no 
18050709994572192,gl,"tremendos fotones, tremendas rapazas, tremendas ganas de todo o que tendes preparado "
17936360147702704,gl,guapísimas 
17994526709336460,gl,graciñas pola confianza! que ganas!!!! 
18028370266801432,gl,como mola ourense! 
18032859253915328,pt,que ganazas 
17851440687140944,gl,bonito coma vós
18413169799055136,pt,que fermosura! 
18325987393140700,gl,unha pasada
18040125109734496,pt,presioso!!! 
18422525311022588,pt,que bonito
17906440775927324,gl,graciñas
18416844415048916,gl,graciñas!
17977956782624584,gl,que chulada!!
17862720084063548,gl,que chulada!!
17915425136848386,pt,precioso 
18064666117516392,pt,que ben o pasamos!!
18220760665286552,pt,agora vou a ter q cambiar o traballo de galego outra vez 
17930861714835264,pt,que chulo o disco!
18024417125072520,gl,que guai!!!!
17958768953735612,gl,volveuche xa o sangue os huevos cibrán?
18022419677028140,pt, igualmente!!
18012914177218802,gl,nunca tanta leria deron unhas uñas 
17999338166448508,pt,
18282299569165440,gl,mañá peregrinamos
18042785320638540,gl, desexando escoitar novas cousas
17925100718838420,pt,non se che escapa unha! 
18012263438183602,pt,eu podia abrir os ollos tamen
18036003130780704,gl,esa xentiña top
17867129697058852,gl,a pesar de que algunha pensaba que estaba en compostela . grandes divacas!! 
17909724476899752,gl,home claro! estando en compostela como estábamos... foi un conciertazo! un luxo á altura do divas que sodes!
18022779385797560,gl,moitas grazaaass!
18060561802455680,pt, compostela é única!
17989222559339244,pt,aiii!!! ogallá que prontooo! 
17992807688352422,pt,voume gastar mas nas vosas fichas q nas dos cochitos
18096572995396756,pt,a mellor máquina do bo rollo !!!! 
