id,language,text
17910373643793188,pt,que momentazo 
17961161477693652,pt,pero cando é? ou xa foi?
18058240585496600,gl,mañán.
18255770275244672,gl,carlaaaaa!!!! que ganiñas de verte!!!! 
18139183279325984,pt,adoro 
18221599111280176,pt,felicidades!!! 
17970507452552764,gl,con pel e galiña e a emoción nos meus ollos. que precioso todo
18002546960203200,pt, a valente e xenerosa marián  felicidades emocionadas 
18022194470031208,gl,joo moitas gracias!  espero que che gustase  temos unha comida de domingo pendiente 
17849702319157860,pt,querote pati! gracias sempre 
18037955509696040,gl,joo gracias amora! 
18028244443787024,pt, tas teso
18049836922593260,gl,que porte coñooo 
18419797084009956,pt,guapoooo meu iago 
18016295260973128,gl,ummm peito palomo cajonaconacha
18001329515406498,gl,feitiño!!!!
18009235322496970,gl,o tema ese de john butler é unha locura
18026386999932400,pt,grandes e referentes e máximos amores
17974651379658692,pt,verdade e corazón
18280129711160208,gl,"mamasiña, que ganassss...!!!!!"
17847854859154344,pt,"gozada! que ganas de escoital!. isto non se fai carallo, que a ver agora que facemos coas ganas"
17855047557091908,pt,wow wow wow !!!! mais agora quero mais
18126696784331776,pt,"que molon cando che valoran a cercania a hora do traballo.. cantantes, músicos, camaras e demais hai moitos, pero que nos queden amizades bonitas. "
17988985601385500,pt,o melhor dos melhores. e as miñas nrnas tanxugueiras
18071744665462432,pt,totalmente!! 
18335819953098200,gl,ganas de escoitalo!
18416829268024584,gl,bueno ti tes “enchufe” e o meu permiso se queres escoitalo antes de que saia jajajaj 
18013188917179676,pt,me derrito!! 
18006867827340272,gl,sabios consejos  que pintasa todo por dioooooooozzzzzz  que chegueeeeeeeee
17988968579384342,pt,che cheeeegue a luzzzzzzzzz  ganas de verte cuchiflora
18027988864771068,pt,está pendente a pinchada no mellor super do mundo mundial!
18008719253362264,gl,ali estivemos tamén
18016228664273504,pt,brava!!!!
18047568316625580,gl,estivo xeniaaaal!! 
18022084360988984,pt,que viva a festiculturaaa!!!!! 
18043272883650944,gl,este é o noso canto de liberación 
17912945921907312,gl,miña juapa!! 
17959776413602568,pt,esaaaaa muller brava e galega
18140469256309928,gl,xa somos dous sen aterrar.. aínda asimilando e digeriendo... ufff 
17946492662743402,gl,"menos mal que non lanzache polo aire a olaia, se non agora iría xa por panamá."
18019989331779200,pt,por que hai  iago picos?
18016318927983348,gl,"se te fixas, hai tres"
18054526645511764,gl,realmente ten un clon e aínda non o sabedes
18015859105864316,gl,equipon
18016076404855432,gl,pensei que eras o terceiro dos que están abaixo!!! 
17862274050061822,gl,estrella galicia 
18064703068462680,gl,"penso que podo ter eu algunha foto tua mellor, ei de mirar "
18265985218094852,pt,"eres moi grande iaguiño! nunca deixes de alegrarnos a vida ca tua música, co teu sonriso e o teu cariño "
18101151760342700,gl,para min fuches un dos grandes descubrimentos da liga! tan novo e ca cabeza tan ben asentada! deixasme flipada cas tuas versións...agora xa non che perdo a pista que ben seguro que todo no que andes metido será un éxito! 
17939685950709928,gl,"iso non é unha cova, xa é a enterprise "
18018555325755328,pt,boa música e bo feeling na cova!! 
18001465654898380,pt,parabéns!!
17992270343210268,pt,e os que che quedan 
18333412492111588,gl,"por onde andarás ti, grandullón?"
18034656307636492,pt,
18024250174806220,pt,que menos que ainda estou na idade de precisar pediatra
17889630092978632,pt,que grandes 
18392602150077200,gl,graciñas dani! apertas
18226715662270884,pt,oxala veñas outra vez o
18023469025967928,pt,hai que traelo a ourense
18071738785484784,pt,gendo ikari vibes
18027515197921392,pt,para cando as entradas!!??
17850073149125672,pt, que bonitas as fotos
18013543451189552,gl,cando ss entradas en xixón??!! galego con ganiñas de verte
18016230827238240,gl,que ganiñas de volver a vibrar con vos 
18347655838098944,gl,"alguen que explique cada traxe,porfavor  cando vin o vídeo flipoume. grazas baiuca pola tua arte"
18013695512260444,pt,"no videoclip saen mais saen merdeiros de vigo, cacharelos de lalin"
18070895938487352,gl,"está perfecto, dicho unha follateira "
18003953291586376,gl,"hola  paloma. grazas! follateira e ademáis gaiteira , coma min!"
18009884219346740,gl,"si, e sale um personaxe do entroido de samede, san xulián, vigo."
18026290117999832,pt,puro arte 
17845969809188588,pt,muito obrigada! espero ver baiuca de novo em portugal. está clip é genial e a canção também 
18053268394607556,pt,viva os follateiros de lobios 
17959108718727296,pt,incrível 
17891932661974106,pt, parabens !
18011362199239638,pt,eu só desexo un novo álbum  teu! que pedazo artista 
18015853829479544,pt,que marabilla
18040980007735120,pt,despois temos xente dicindo que non ai futuro moita sorte
18051120373589380,gl,moitas grazas po compartirrrrr 
18028686748875784,pt,grazas por contar con nós para este espazo!
18012043355506470,gl,moi floating points a imaxe e son  ganazas
17945700341656020,pt,"eu o forno non o como,e punto..."
18032131999898044,gl,de cabezaaaaa!! espero que se demore un pouco pq saio de curra ás : 
18028284154964648,pt,tentareino…
18310042558193260,gl,"toda a xente que confiabamos nelas e na súa marabillosa equipa sabiamos que o íades conseguir, grazas por tanto iago! "
18318597304118840,pt," os teus pés!! que fácil traballar contigo, dende o minuto  facendo fácil todo!! "
18035874166650300,pt,moitos parabéns e a desfrutare!
17991177521444162,pt,"moitos parabéns, iagoooo!!! "
18061620142482856,pt,grandes os lo mereceis
17993862191412840,gl,tanxuteam sodes increíbles 
17858522568076170,pt,quéroteree meu iaguiñoo
17948592857783448,pt, brava pauliña! 
18291977815197288,pt,bolo na nosa axenda
17896148480844076,gl,nós temos moitísimas tamén 
18024487795919936,gl,que gañas!! 
18056089627576300,pt,foi pra axenda de musicaengalego
