id,language,text
18001953401528100,gl,"Pa traballar PARA os demais hai tempo, ti falo POLOS demais e eso non hai salario que o paghe. Dalle duro!"
18037131727803251,gl,Muitas gracinhas por permetir-te leer... Adorei e ressone muitíssimo...
18005688965207034,gl,pois non sabes q ilusión me fai q haxa xente coma ti q entenda estas cousinhas das vida como as entendo eu. o teu trabalho é unha aperta ao corazoncinho así q muitas apertas para ti tamén 
18116682739362020,gl, grazas por compartir estes pensamentos nos que moites nos podemos atopar
17920656995864475,gl,O que fas é grandioso! Non sabía que dabas charlas por escolas. Pódesme pasar máis info ao respecto para compartir no meu centro?
18020544377142774,gl,grazas por isto
17976464261533253,gl,"Gracias polo que fas e compartes, sírvenos a moitas"
18053278987606759,gl,"Vostede si que marca a diferencia, e aprender a construir coas mans non é incompatíbel co teu xeito de construir lol"
17957430389638057,gl,Se todas e todos fosemos polo regho non haberia cultura en na incultura so gañan eles
18038332480827904,gl,Grazas a vós todes! É un pracer tervos por aquí 
17920122956876613,gl,sodes amor! 
18003530162087289,gl,graxxx 
18093570676394713,gl,"so glad ho hear that, thanks a lot!"
18080816869437018,gl,thanks a lot thats so beautiful!
17852749959103857,gl,oh thanks a lot!!
18097485403386151,gl,thanks a lot!!
17930470817731291,gl,hahaha yes! Thanks a lot
18029130700881174,gl,Me encanta churri!! A ver si logro tener ese pelazo! 
18009617777473357,gl,Gorgeous as always :)
17910673199809678,gl,thanks a lot!
18055515379511077,gl,A máis jefa
18051758935543391,gl,"Que ganas teño,non me dà chegado o dìa!!"
17875408011063191,gl,xa non queda nada
17883382470034181,gl,Vémonos o ! Alí estaremos 
17850549504146755,gl, ti xa es parte del
17980776146656089,gl,"Sempre é un pracer verte, é si teño eses dous minutiños de case sempre despois do concerto, xa.."
18252735256238886,gl,fixémolo
17979444287639383,gl,grazas Minia
17932547252799779,gl,a fortuna e terte Brugada
18031718884830373,gl,grazas
18307806439120211,gl,grazas
18004698749111982,gl,sería o propio
17968028498547458,gl,vervos foi xenial
18409899715010810,gl,grazas
18018030512084669,gl,grazas
17970641453667107,gl,a ti
18096134719388760,gl,grazas
18253000585168420,gl,moitas grazas
18017758595065116,gl,a ti
18307041655126017,gl, Grazas por dúas noites para a memoria!!
18028002757880905,gl,"a vós, sempre"
18042770326646552,gl,Foi unha sorte estar. Prestoume un mundo. 
17926677575831625,gl,"Bo día, Guadi. Son unha mestra dun cole de Vigo, e para conmemorar o día da muller decoramos as portas das nosas clases dando visibilidade a artistas galegas. Na miña clase decoraremos a nosa porta facendo unha biografía túa porque eres unha das artistas perfectas para reivindicar o uso do galego na música. Aínda que sei que estarás moi ocupada, gustaríanos pedirche se nos podías facer unha visita, para deste xeito sexa todo máis significativo para o noso alumnado. Agradézoche o teu tempo e quedo á tú disposición. Un saúdo."
18099871033382677,gl,Montaxe marabillosa. Un petisquiño de vídeo resumo Síntese Horizonte...que presta e alimenta 
18109471279358463,gl,muito obrigada pelo seu comemtario e de que voçe conheça as minhas artes!
17972692979694137,gl,Esa última foto  (e todas as demais tamén )
18299893372158805,gl,Fotaza a última!! E as outras por suposto tamén. Vémonos nunhas horiñas 
18043539238685487,gl,"Preciosas fotos! Sentín moito tiña a entrada mais non foi posíbel, foi Alba e o xenro viñeron co corazón roubado. PARABÉNS INMENSOS!!"
18209671903280564,gl,"ola!, envíame un correo a davila.com"
18212581735251315,gl,"Gorgeous, as always!"
18049074358506441,gl,mil grazas
17998193468250295,gl,Choro!! Grazas 
18015313790496589,gl,Xoia de fotos e xoia de esta versión de Grazas!!! Fuaaaa  aiiins! Felicidade 
18043462861570197,gl,Esa lámina é unha preciosidade e teño a sorte de tela na parede 
18018550549786694,gl,Éste o temos !  Marabilla pura!
18048834625721640,gl,Merceditas a ser pioneira … 
17999975378527835,gl,Felicidades. Pa o neno
18065367349513687,gl,Hola Cesar e o teu cumpreanos este día e desexoche toda a alegría e moitos anos de vida rodeado dos teus seres queridos. PARABENS. Unha aperta. Sandra García Carballeira
17904223667953999,gl,Felicidades cesar te quiero
18260743555174827,gl,Parabéns!!  Este ano tes quen che axude a soplar as velas
18045991327631871,gl,"Muchísimas felicidades César a seguir cumpliendo por muchísimos más al lado de tú familia,un saludo"
18420012319028328,gl,estdes os dous muy guapapos 
18225125503280259,gl,Aaayyyy o Celtiña … no fio …
18046219780625126,gl,brutaaaaaaal ese traxe está brutaaaaaaal
18302212159198811,gl,... e lista!! .  Grazas !
18045262510712781,gl,a máis chula sempre
18012908216206422,gl,Marabilla de vestido. Marabilla de complementos. Marabilla de percha.Marabilla de equipo. Marabilla de Gala. Maravilla de artistas. Marabilla de talento galego. Galicia é o pais das marabillas  Comarea de orghullo do noso talento e da nosa cultura orghullo TalentoGalego CulturaGalega
18001577735443448,gl,Ela 
17966458544599074,gl,"hahahahahaha encántame o de “servicio”, fan"
18085041415437864,gl,chegha a primavera ao Quinteiro! 
17915838362906298,gl,Grazas a ti por confiar en min!! Monisima ibas
18003793718412052,gl,"Encantoume o teu look...xa cho dixen. Noraboa polo traballo ben feito, querida compañeira "
18038004244817520,gl,Que experiencia tan fermosa. Gardo tan Bos recordos 
18022962179499669,gl,moitísimas grazas!!! 
18053285065580352,gl,estas mechas relucieeennntes grazas a ti sempre 
18044271238663672,gl,mil grazas por todo Elixio 
18423174232023806,gl,"Foi taaaan lindo!!!! Quedan ben gardadas as apertas e os afectos, que son moitos e moi grandes!"
18030795364801308,gl,Bonitísima es!! Que ben o fixeches 
18347663413096932,gl,Desprendestes unha enerxía tan guai que creo que nos fixestes mellores a todas  GRAZAS!
18024359186016253,gl,es a mellor!!! 
18039742708665370,gl,Tas mais linda 
17995041143342531,gl,A máis linda 
18067783561507905,gl,Tan bonita ti e tan bonita esa noite  I looovee you 
17866936461077028,gl, vaas na llamaaaa meu nenooooo
18053563042604306,gl,Cando bolbe a noite sisante
18112490329335342,gl, Te quedan muchos comienzos de temporada nos vemos pronto
17884292355009087,gl,Grazas a ti por vir queixear  concertazo 
17908877858922316,gl,"todo arzúa abrazando a diferenza do vivido, grazas Guadi "
18033199693882433,gl,"Brutal coma sempre. Grazas, Guadi, por estar tan viva."
17856531672120841,gl,grazas
18248069107243555,gl,Máxica!!!
17910719138825274,gl,Aínda emocionada
18060513559525988,gl,"amadas miñas, sodes a bomba"
18022436441297230,gl,“non sei que teñen os meus ollos cando te miro”.
18083496103431267,gl,Grazas por tanta música fermosa.
17944031222790425,gl,"brutais, a cogo von ese pedazo traxe"
18422673400047611,gl,"gracias amigo, seguro que antes ou despois, voltaremos a atoparnos, non é tan fácil desfacerse de min, Y LO SABES "
18065477197498783,gl,Porque este sábado non hai programa?
18023246492094542,gl,Alégrome de que che guste !!!
17877126570064316,gl,"Antes de buscar no Tindereiro, lembra revisar o filtro..."
17914283627825716,gl,a vender ou a mercar?
17847738876177564,gl, Moitas grazas !! 
18039111064696144,gl,"Súper amable, cercano, atento, canta increíble  te admiro mucho "
17930359709732033,gl,Mmm canta cervexa consume?
18295084105159710,gl,ummm vexoa un pouco oxidada!!
18020639165025092,gl,oxidada tou eu o da carreta é o filtro vintage que leva.
17908416017913531,gl,É astemia e vegana.
17875044603037486,gl,"De ghranito ana de ghranito, a aldea de granito e estrelas onde chove auga bendita! Cemento na Coruña"
17948986001757862,gl,o ghranito do Porriño é outra aldea con outro cp
18000392447526921,gl,Queremos unha versión rockeira 
18298498219197527,gl,As Rosalías de deica fans de 
18285539776092227,gl,A verdade e que a veces parece que tivera un toque punkarra nalgunhas cousas que escribe 
17857023213109045,gl,"moito, mira un video que fixeron dende a Estrada cunha das cancion de A Banda da Loba dun poema de Rosalía, toque punki total"
18012801572229317,gl,tes a ligazón? mándame por mesaxe ahi!
18010355945353261,gl,"Que preciosidade de ilustración! Semella a escultura que ten na Alameda de Santiago, non si? "
18004298888363504,gl,"Si é! No  fixen esta ""estatua alternativa"" porque sempre me daba pena vela tan aburrida nese monumento!"
18002278414916403,gl,rebota e exploooota! 
17995830158325718,gl,cando te vexoooooo?! 
17895239642903202,gl,eu de verte a tiiii! 
17985414083378831,gl,Que orgullosa estou de ti!! 
18025494880659234,gl,pois conto con ir a primeira fin de semana pero ainda non podo sabelo seguro
18015132064868465,gl,aquí te estaremos esperando!!!!! Cos braciños ben abertos 
17990322818341248,gl,Noraboa bonita!!! Desexando esa estrea para poder verte de novo en escena! 
17958747299520524,gl,moitas grazas Nando!!! Alí nos vemooos 
17921806457795883,gl,Ayer tuve la oportunidad de asistir a la sesión en el CDN y fue algo espectacular!! Enhorabuena a Lidia y a toda la compañía por una mirada imprescindible a nuestra reciente historia; no os conocía por Madrid y después de esta “shot”!!! Os seguiré con ilusión!!!!
18046547155616663,gl,viva vivaaaaa k ganinhaaaaaaassss
18004244252182448,gl,"Ola Xiana! pois en www.deicacreacions.com , ou nalgún dos puntos de venda. En Compos están en ""Cousalinda"" ou na nosa casa. "
18016818422171739,gl,
18111249223368289,gl,Mais feminismo e menos xenocidios. Forza. A loita continua
18011789021261148,gl,"Ai! Sempre fas unhas ilustracións que din tanto, tanto ."
18102597874379612,gl,E non queda outra se queremos seguir vivas! 
18035927863792030,gl, Moitas grazas Concha!
18044380294579662,gl, Grazas !!! 
17876092590027881,gl,grazas nena!! Mil ganas de verte!! 
18047603317541667,gl,hehehehehe e eu a vós! 
17991012725545804,gl,homeeeeeeeeeee non! Que ganaaaassssss de vervooos mecá
17872515669052417,gl,hahahaha cómoche a cara
17999685662434652,gl,grazas!!!
18381341431078425,gl,mil grazas!
18413270479010300,gl,Crack! E as q estan por chegar 
18042240817578281,gl,Presente e futuro xuntas e adiante! 
18014482676127102,gl,"Es ben merecedora diato e mais, alégromeninfinito contifo, queridiña "
17996972705301153,gl,ao teu carón sería xenial
18031229134873956,gl,grazas soliiiño
18039396397663829,gl,moitas grazas Mariiiiiaaaaaa! Que ganas de verteeee!
18056184370535133,gl,"e eu a ti, preciosura "
18040414198659229,gl,Ti es moito!!! 
18003511847518975,gl,grazas Mariiiia!!!!
17994923825317153,gl,moitas grazas!
18221835973259114,gl,xulisimasss
18019115312029940,gl,O luxo é compartir tempo e curro contigo! Ese é o premio que tí nos das!
18031699117842317,gl,os conocí y sigo a ambos desde que me topé con “onde dormen as gaivotas” simplemente !!
17862047934054656,gl,Ardelle o eixo 
17905885454842352,gl,"Orgulloso da miña nación, da súa xente e das súas tradicións. Que sigamos existindo coa nosa esencia mil anos máis, non deixemos que nola quiten!"
18411235993057887,gl,Po ano ven a xinzo
17906596856920979,gl,estiven unha noite pero pouco tempo! Para o ano a ver de vexo máis 
17972259776673497,gl,"que noite estiveches, polo pouco que te conozco(nada) e polo contido que sobes,tes que vir os fachos (sábado a noite) e o domingo oleiro"
17949434945756912,gl,fun á noite do domingo só para ver o ambiente. Para o ano irei máis 
18045412003719563,gl,"a verdade é que non o sei seguro, teño que velo cos meu ollos para opinar, pero esta maneira dende logo funciona bastante ben."
17943684974683504,gl,Manolo:  a música: 
18058190281526464,gl,a verdade é que un dos poucos motivos polo que o subín é porque me casaba moi ben a música jeje
18057410632552874,gl,Como estudante de xardinería sería moi interesante ver a evolución destes esqueces de vimbio. Coma sempre un gran traballo. Gracias polo teu contido
18005102624181272,gl,irei contando logo. Ademais estes son uns vimbios un pouco raros...
18020458303922459,gl,a min tamén me xera moita curiosidade. Nun principio pensaba que o facían porestética ata que un veciño contoume que nada diso... A estética é circunstancial. Quedei abraiada.
17977076564517013,gl,Está moi ben este modelo. Nós espichabamos a bimbia recta en liña normalmente para marcar unha liña ou peche da leira 
17972506700546795,gl,"por raros refíreste a que teñen a tona verde e non amarela? O meu pai contaba que antes aquí (sur de Compostela xa na provincia de Pontevedra) os vimbios máis demandados para atar a viña eran os verdes porque duraban moito máis sen ter que os cambiar, e que nun momento veu ""unha peste"" que os facía apodrecer e non valían, co cal quedaron os outros. De feito hoxe en día vimbieiras das verdes por aquí xa non hai case ningunha."
18033957583848123,gl,"eses teñoos visto alguna vez e incluso fixen este ano dous cestos cunhas corres que me deron, pero esta aínda é outra especie, penso que salix triandra"
18036523996824471,gl,Gracias por en valor o noso
18345806398101608,gl,"Hola! Me encanta! Pero no alcanzo a descifrar ""gomas polas beiras""! ¿Estas varas son de sauce? Podrías traducirme?no encuentro un traductor de gallego! "
17937160889808236,gl,"es un mimbre (plantas del género salix), y no se exactamente que especie"
